emp_id,course_id,course_name,completion_date,score
E1000,IT-001,Information Security Awareness,2024-03-10,95
E1000,FIN-001,Financial Compliance,2025-06-09,98
E1000,QA-001,Quality Management System,2025-10-21,70
E1000,MFG-002,5S Workplace Organization,2024-08-07,83
E1000,MFG-001,Lean Manufacturing Basics,2026-04-25,86
E1000,EHS-001,Safety Fundamentals,2025-01-17,20
E1001,IT-001,Information Security Awareness,2024-09-19,3
E1001,ENG-001,CAD Software Proficiency,2024-04-27,81
E1001,MFG-002,5S Workplace Organization,2024-04-02,84
E1003,MFG-001,Lean Manufacturing Basics,2025-06-27,84
E1003,HR-002,Code of Conduct,2026-04-21,15
E1004,HR-002,Code of Conduct,2025-10-15,22
E1004,MFG-001,Lean Manufacturing Basics,2025-10-18,81
E1005,HR-001,Anti-Harassment Training,2024-10-25,27
E1005,IT-001,Information Security Awareness,2024-11-08,86
E1005,EHS-002,Forklift Certification,2024-05-21,86
E1005,FIN-001,Financial Compliance,2026-01-28,99
E1005,EHS-001,Safety Fundamentals,2026-01-16,16
E1005,HR-002,Code of Conduct,2026-02-20,1
E1005,MFG-001,Lean Manufacturing Basics,2024-05-20,95
E1006,IT-001,Information Security Awareness,2025-04-15,38
E1006,MFG-002,5S Workplace Organization,2026-05-27,89
E1006,ENG-001,CAD Software Proficiency,2025-10-04,75
E1006,QA-001,Quality Management System,2026-06-27,88
E1006,HR-001,Anti-Harassment Training,2026-06-20,77
E1006,HR-002,Code of Conduct,2025-05-22,13
E1007,EHS-002,Forklift Certification,2024-03-17,75
E1007,MFG-001,Lean Manufacturing Basics,2024-10-13,91
E1007,IT-001,Information Security Awareness,2025-11-05,92
E1007,ENG-001,CAD Software Proficiency,2024-11-16,84
E1007,HR-001,Anti-Harassment Training,2025-07-13,49
E1007,MFG-002,5S Workplace Organization,2026-01-19,92
E1007,QA-001,Quality Management System,2026-02-11,79
E1007,HR-002,Code of Conduct,2026-05-21,100
E1007,FIN-001,Financial Compliance,2025-11-12,91
E1008,HR-001,Anti-Harassment Training,2024-12-09,92
E1008,ENG-001,CAD Software Proficiency,2026-02-22,85
E1008,FIN-001,Financial Compliance,2026-01-08,86
E1008,QA-001,Quality Management System,2024-12-28,84
E1008,EHS-001,Safety Fundamentals,2025-06-12,33
E1008,HR-002,Code of Conduct,2026-03-15,15
E1009,EHS-001,Safety Fundamentals,2025-01-28,19
E1009,EHS-002,Forklift Certification,2024-04-11,86
E1009,QA-001,Quality Management System,2026-04-05,85
E1009,ENG-001,CAD Software Proficiency,2026-02-25,77
E1009,IT-001,Information Security Awareness,2025-06-21,22
E1009,FIN-001,Financial Compliance,2025-11-02,75
E1009,HR-002,Code of Conduct,2025-05-07,97
E1009,HR-001,Anti-Harassment Training,2024-10-25,20
E1009,MFG-002,5S Workplace Organization,2025-02-05,89
E1010,MFG-002,5S Workplace Organization,2024-12-12,70
E1010,FIN-001,Financial Compliance,2025-09-07,75
E1010,ENG-001,CAD Software Proficiency,2026-01-21,98
E1010,HR-002,Code of Conduct,2024-04-23,44
E1010,QA-001,Quality Management System,2025-03-04,89
E1010,EHS-001,Safety Fundamentals,2026-05-10,21
E1010,IT-001,Information Security Awareness,2024-01-10,37
E1010,HR-001,Anti-Harassment Training,2025-12-17,76
E1011,MFG-001,Lean Manufacturing Basics,2024-04-24,74
E1011,MFG-002,5S Workplace Organization,2024-12-01,88
E1011,HR-001,Anti-Harassment Training,2026-02-04,46
E1011,QA-001,Quality Management System,2026-06-26,67
E1011,HR-002,Code of Conduct,2025-11-09,98
E1011,ENG-001,CAD Software Proficiency,2026-05-02,94
E1011,EHS-002,Forklift Certification,2024-11-04,61
E1011,EHS-001,Safety Fundamentals,2024-12-04,53
E1011,FIN-001,Financial Compliance,2025-07-04,92
E1011,IT-001,Information Security Awareness,2025-08-23,19
E1012,EHS-001,Safety Fundamentals,2026-05-09,79
E1012,IT-001,Information Security Awareness,2026-06-05,53
E1012,MFG-002,5S Workplace Organization,2024-09-24,89
E1012,MFG-001,Lean Manufacturing Basics,2024-05-04,95
E1012,FIN-001,Financial Compliance,2024-08-07,94
E1013,IT-001,Information Security Awareness,2025-05-06,5
E1013,ENG-001,CAD Software Proficiency,2026-04-07,97
E1013,HR-002,Code of Conduct,2025-06-08,0
E1013,HR-001,Anti-Harassment Training,2024-11-03,14
E1013,MFG-001,Lean Manufacturing Basics,2026-06-16,74
E1014,ENG-001,CAD Software Proficiency,2025-11-08,89
