month,dept,turnover_count,turnover_rate_pct
2023-01-01,Engineering,1,2.38
2023-02-01,Engineering,0,0.0
2023-03-01,Engineering,1,2.38
2023-04-01,Engineering,1,2.38
2023-05-01,Engineering,0,0.0
2023-06-01,Engineering,1,2.38
2023-07-01,Engineering,1,2.38
2023-08-01,Engineering,1,2.38
2023-09-01,Engineering,1,2.38
2023-10-01,Engineering,0,0.0
2023-11-01,Engineering,0,0.0
2023-12-01,Engineering,1,2.38
2024-01-01,Engineering,0,0.0
2024-02-01,Engineering,1,2.38
2024-03-01,Engineering,1,2.38
2024-04-01,Engineering,0,0.0
2024-05-01,Engineering,1,2.38
2024-06-01,Engineering,0,0.0
2024-07-01,Engineering,0,0.0
2024-08-01,Engineering,1,2.38
2024-09-01,Engineering,1,2.38
2024-10-01,Engineering,0,0.0
2024-11-01,Engineering,1,2.38
2024-12-01,Engineering,1,2.38
2025-01-01,Engineering,1,2.38
2025-02-01,Engineering,1,2.38
2025-03-01,Engineering,1,2.38
2025-04-01,Engineering,0,0.0
2025-05-01,Engineering,0,0.0
2025-06-01,Engineering,1,2.38
2025-07-01,Engineering,1,2.38
2025-08-01,Engineering,0,0.0
2025-09-01,Engineering,1,2.38
2025-10-01,Engineering,0,0.0
2025-11-01,Engineering,1,2.38
2025-12-01,Engineering,0,0.0
2026-01-01,Engineering,1,2.38
2026-02-01,Engineering,1,2.38
2026-03-01,Engineering,2,4.76
2026-04-01,Engineering,1,2.38
2026-05-01,Engineering,1,2.38
2026-06-01,Engineering,1,2.38
2026-07-01,Engineering,1,2.38
2023-01-01,Finance,0,0.0
2023-02-01,Finance,0,0.0
2023-03-01,Finance,0,0.0
2023-04-01,Finance,0,0.0
2023-05-01,Finance,0,0.0
2023-06-01,Finance,0,0.0
2023-07-01,Finance,0,0.0
2023-08-01,Finance,0,0.0
2023-09-01,Finance,0,0.0
2023-10-01,Finance,0,0.0
2023-11-01,Finance,0,0.0
2023-12-01,Finance,0,0.0
2024-01-01,Finance,0,0.0
2024-02-01,Finance,0,0.0
2024-03-01,Finance,0,0.0
2024-04-01,Finance,0,0.0
2024-05-01,Finance,0,0.0
2024-06-01,Finance,0,0.0
2024-07-01,Finance,0,0.0
2024-08-01,Finance,0,0.0
2024-09-01,Finance,0,0.0
2024-10-01,Finance,0,0.0
2024-11-01,Finance,0,0.0
2024-12-01,Finance,0,0.0
2025-01-01,Finance,0,0.0
2025-02-01,Finance,0,0.0
2025-03-01,Finance,0,0.0
2025-04-01,Finance,0,0.0
2025-05-01,Finance,0,0.0
2025-06-01,Finance,0,0.0
2025-07-01,Finance,0,0.0
2025-08-01,Finance,0,0.0
2025-09-01,Finance,0,0.0
2025-10-01,Finance,0,0.0
2025-11-01,Finance,0,0.0
2025-12-01,Finance,0,0.0
2026-01-01,Finance,0,0.0
2026-02-01,Finance,1,5.56
2026-03-01,Finance,0,0.0
2026-04-01,Finance,0,0.0
2026-05-01,Finance,0,0.0
2026-06-01,Finance,0,0.0
2026-07-01,Finance,0,0.0
2023-01-01,HR,0,0.0
2023-02-01,HR,0,0.0
2023-03-01,HR,0,0.0
2023-04-01,HR,0,0.0
2023-05-01,HR,0,0.0
2023-06-01,HR,0,0.0
2023-07-01,HR,0,0.0
2023-08-01,HR,0,0.0
2023-09-01,HR,0,0.0
2023-10-01,HR,0,0.0
2023-11-01,HR,0,0.0
2023-12-01,HR,0,0.0
2024-01-01,HR,0,0.0
2024-02-01,HR,0,0.0
2024-03-01,HR,0,0.0
2024-04-01,HR,0,0.0
2024-05-01,HR,0,0.0
2024-06-01,HR,0,0.0
2024-07-01,HR,0,0.0
2024-08-01,HR,0,0.0
2024-09-01,HR,0,0.0
2024-10-01,HR,0,0.0
2024-11-01,HR,0,0.0
2024-12-01,HR,0,0.0
2025-01-01,HR,0,0.0
2025-02-01,HR,0,0.0
2025-03-01,HR,0,0.0
2025-04-01,HR,0,0.0
2025-05-01,HR,0,0.0
2025-06-01,HR,0,0.0
2025-07-01,HR,0,0.0
2025-08-01,HR,0,0.0
2025-09-01,HR,0,0.0
2025-10-01,HR,0,0.0
2025-11-01,HR,0,0.0
2025-12-01,HR,0,0.0
2026-01-01,HR,0,0.0
2026-02-01,HR,0,0.0
2026-03-01,HR,0,0.0
2026-04-01,HR,0,0.0
2026-05-01,HR,0,0.0
2026-06-01,HR,0,0.0
2026-07-01,HR,0,0.0
2023-01-01,IT,0,0.0
2023-02-01,IT,0,0.0
2023-03-01,IT,0,0.0
2023-04-01,IT,0,0.0
2023-05-01,IT,0,0.0
2023-06-01,IT,0,0.0
2023-07-01,IT,0,0.0
2023-08-01,IT,0,0.0
2023-09-01,IT,0,0.0
2023-10-01,IT,0,0.0
2023-11-01,IT,0,0.0
2023-12-01,IT,0,0.0
2024-01-01,IT,0,0.0
2024-02-01,IT,0,0.0
2024-03-01,IT,0,0.0
2024-04-01,IT,0,0.0
2024-05-01,IT,0,0.0
2024-06-01,IT,0,0.0
2024-07-01,IT,0,0.0
2024-08-01,IT,0,0.0
2024-09-01,IT,0,0.0
2024-10-01,IT,0,0.0
2024-11-01,IT,0,0.0
2024-12-01,IT,0,0.0
2025-01-01,IT,0,0.0
2025-02-01,IT,0,0.0
2025-03-01,IT,0,0.0
2025-04-01,IT,0,0.0
2025-05-01,IT,0,0.0
2025-06-01,IT,0,0.0
2025-07-01,IT,0,0.0
2025-08-01,IT,0,0.0
2025-09-01,IT,0,0.0
2025-10-01,IT,0,0.0
2025-11-01,IT,0,0.0
2025-12-01,IT,0,0.0
2026-01-01,IT,0,0.0
2026-02-01,IT,0,0.0
2026-03-01,IT,0,0.0
2026-04-01,IT,0,0.0
2026-05-01,IT,0,0.0
2026-06-01,IT,0,0.0
2026-07-01,IT,0,0.0
2023-01-01,Manufacturing,2,1.25
2023-02-01,Manufacturing,2,1.25
2023-03-01,Manufacturing,2,1.25
2023-04-01,Manufacturing,1,0.62
2023-05-01,Manufacturing,2,1.25
2023-06-01,Manufacturing,2,1.25
2023-07-01,Manufacturing,2,1.25
2023-08-01,Manufacturing,3,1.88
2023-09-01,Manufacturing,2,1.25
2023-10-01,Manufacturing,2,1.25
2023-11-01,Manufacturing,3,1.88
2023-12-01,Manufacturing,3,1.88
2024-01-01,Manufacturing,3,1.88
2024-02-01,Manufacturing,3,1.88
2024-03-01,Manufacturing,2,1.25
2024-04-01,Manufacturing,2,1.25
2024-05-01,Manufacturing,2,1.25
2024-06-01,Manufacturing,3,1.88
2024-07-01,Manufacturing,2,1.25
2024-08-01,Manufacturing,2,1.25
2024-09-01,Manufacturing,2,1.25
2024-10-01,Manufacturing,2,1.25
2024-11-01,Manufacturing,2,1.25
2024-12-01,Manufacturing,3,1.88
2025-01-01,Manufacturing,3,1.88
2025-02-01,Manufacturing,1,0.62
2025-03-01,Manufacturing,3,1.88
2025-04-01,Manufacturing,2,1.25
2025-05-01,Manufacturing,3,1.88
2025-06-01,Manufacturing,3,1.88
2025-07-01,Manufacturing,3,1.88
2025-08-01,Manufacturing,1,0.62
2025-09-01,Manufacturing,3,1.88
2025-10-01,Manufacturing,2,1.25
2025-11-01,Manufacturing,3,1.88
2025-12-01,Manufacturing,3,1.88
2026-01-01,Manufacturing,3,1.88
2026-02-01,Manufacturing,4,2.5
2026-03-01,Manufacturing,6,3.75
2026-04-01,Manufacturing,3,1.88
2026-05-01,Manufacturing,3,1.88
2026-06-01,Manufacturing,4,2.5
2026-07-01,Manufacturing,3,1.88
2023-01-01,Procurement,0,0.0
2023-02-01,Procurement,0,0.0
2023-03-01,Procurement,0,0.0
2023-04-01,Procurement,0,0.0
2023-05-01,Procurement,0,0.0
2023-06-01,Procurement,0,0.0
2023-07-01,Procurement,0,0.0
2023-08-01,Procurement,0,0.0
2023-09-01,Procurement,0,0.0
2023-10-01,Procurement,0,0.0
2023-11-01,Procurement,0,0.0
2023-12-01,Procurement,0,0.0
2024-01-01,Procurement,0,0.0
2024-02-01,Procurement,0,0.0
2024-03-01,Procurement,0,0.0
2024-04-01,Procurement,0,0.0
2024-05-01,Procurement,0,0.0
2024-06-01,Procurement,0,0.0
2024-07-01,Procurement,0,0.0
2024-08-01,Procurement,0,0.0
2024-09-01,Procurement,0,0.0
2024-10-01,Procurement,0,0.0
2024-11-01,Procurement,0,0.0
2024-12-01,Procurement,0,0.0
2025-01-01,Procurement,0,0.0
2025-02-01,Procurement,0,0.0
2025-03-01,Procurement,0,0.0
2025-04-01,Procurement,0,0.0
2025-05-01,Procurement,0,0.0
2025-06-01,Procurement,0,0.0
2025-07-01,Procurement,0,0.0
2025-08-01,Procurement,0,0.0
2025-09-01,Procurement,0,0.0
2025-10-01,Procurement,0,0.0
2025-11-01,Procurement,0,0.0
2025-12-01,Procurement,0,0.0
2026-01-01,Procurement,0,0.0
2026-02-01,Procurement,0,0.0
2026-03-01,Procurement,1,7.14
2026-04-01,Procurement,0,0.0
2026-05-01,Procurement,0,0.0
2026-06-01,Procurement,1,7.14
2026-07-01,Procurement,0,0.0
2023-01-01,Quality,0,0.0
2023-02-01,Quality,0,0.0
2023-03-01,Quality,0,0.0
2023-04-01,Quality,0,0.0
2023-05-01,Quality,0,0.0
2023-06-01,Quality,0,0.0
2023-07-01,Quality,0,0.0
2023-08-01,Quality,0,0.0
2023-09-01,Quality,0,0.0
2023-10-01,Quality,0,0.0
2023-11-01,Quality,0,0.0
2023-12-01,Quality,0,0.0
2024-01-01,Quality,0,0.0
2024-02-01,Quality,0,0.0
2024-03-01,Quality,0,0.0
2024-04-01,Quality,0,0.0
2024-05-01,Quality,0,0.0
2024-06-01,Quality,0,0.0
2024-07-01,Quality,0,0.0
2024-08-01,Quality,0,0.0
2024-09-01,Quality,0,0.0
2024-10-01,Quality,0,0.0
2024-11-01,Quality,0,0.0
2024-12-01,Quality,0,0.0
2025-01-01,Quality,0,0.0
2025-02-01,Quality,0,0.0
2025-03-01,Quality,0,0.0
2025-04-01,Quality,0,0.0
2025-05-01,Quality,0,0.0
2025-06-01,Quality,0,0.0
2025-07-01,Quality,0,0.0
2025-08-01,Quality,0,0.0
2025-09-01,Quality,0,0.0
2025-10-01,Quality,0,0.0
2025-11-01,Quality,0,0.0
2025-12-01,Quality,0,0.0
2026-01-01,Quality,0,0.0
2026-02-01,Quality,1,4.55
2026-03-01,Quality,1,4.55
2026-04-01,Quality,0,0.0
2026-05-01,Quality,0,0.0
2026-06-01,Quality,1,4.55
2026-07-01,Quality,0,0.0
2023-01-01,Sales,0,0.0
2023-02-01,Sales,0,0.0
2023-03-01,Sales,0,0.0
2023-04-01,Sales,0,0.0
2023-05-01,Sales,1,3.57
2023-06-01,Sales,0,0.0
2023-07-01,Sales,0,0.0
2023-08-01,Sales,1,3.57
2023-09-01,Sales,0,0.0
2023-10-01,Sales,0,0.0
2023-11-01,Sales,0,0.0
2023-12-01,Sales,0,0.0
2024-01-01,Sales,0,0.0
2024-02-01,Sales,1,3.57
2024-03-01,Sales,0,0.0
2024-04-01,Sales,0,0.0
2024-05-01,Sales,0,0.0
2024-06-01,Sales,0,0.0
2024-07-01,Sales,0,0.0
2024-08-01,Sales,1,3.57
2024-09-01,Sales,0,0.0
2024-10-01,Sales,1,3.57
2024-11-01,Sales,0,0.0
2024-12-01,Sales,0,0.0
2025-01-01,Sales,0,0.0
2025-02-01,Sales,0,0.0
2025-03-01,Sales,0,0.0
2025-04-01,Sales,0,0.0
2025-05-01,Sales,0,0.0
2025-06-01,Sales,0,0.0
2025-07-01,Sales,0,0.0
2025-08-01,Sales,0,0.0
2025-09-01,Sales,0,0.0
2025-10-01,Sales,0,0.0
2025-11-01,Sales,1,3.57
2025-12-01,Sales,0,0.0
2026-01-01,Sales,1,3.57
2026-02-01,Sales,1,3.57
2026-03-01,Sales,1,3.57
2026-04-01,Sales,0,0.0
2026-05-01,Sales,0,0.0
2026-06-01,Sales,1,3.57
2026-07-01,Sales,1,3.57
2023-01-01,EHS,0,0.0
2023-02-01,EHS,0,0.0
2023-03-01,EHS,0,0.0
2023-04-01,EHS,0,0.0
2023-05-01,EHS,0,0.0
2023-06-01,EHS,0,0.0
2023-07-01,EHS,0,0.0
2023-08-01,EHS,0,0.0
2023-09-01,EHS,0,0.0
2023-10-01,EHS,0,0.0
2023-11-01,EHS,0,0.0
2023-12-01,EHS,0,0.0
2024-01-01,EHS,0,0.0
2024-02-01,EHS,0,0.0
2024-03-01,EHS,0,0.0
2024-04-01,EHS,0,0.0
2024-05-01,EHS,0,0.0
2024-06-01,EHS,0,0.0
2024-07-01,EHS,0,0.0
2024-08-01,EHS,0,0.0
2024-09-01,EHS,0,0.0
2024-10-01,EHS,0,0.0
2024-11-01,EHS,0,0.0
2024-12-01,EHS,0,0.0
2025-01-01,EHS,0,0.0
2025-02-01,EHS,0,0.0
2025-03-01,EHS,0,0.0
2025-04-01,EHS,0,0.0
2025-05-01,EHS,0,0.0
2025-06-01,EHS,0,0.0
2025-07-01,EHS,0,0.0
2025-08-01,EHS,0,0.0
2025-09-01,EHS,0,0.0
2025-10-01,EHS,0,0.0
2025-11-01,EHS,0,0.0
2025-12-01,EHS,0,0.0
2026-01-01,EHS,0,0.0
2026-02-01,EHS,0,0.0
2026-03-01,EHS,0,0.0
2026-04-01,EHS,0,0.0
2026-05-01,EHS,0,0.0
2026-06-01,EHS,0,0.0
2026-07-01,EHS,0,0.0
2023-01-01,Executive,0,0.0
2023-02-01,Executive,0,0.0
2023-03-01,Executive,0,0.0
2023-04-01,Executive,0,0.0
2023-05-01,Executive,0,0.0
2023-06-01,Executive,0,0.0
2023-07-01,Executive,0,0.0
2023-08-01,Executive,0,0.0
2023-09-01,Executive,0,0.0
2023-10-01,Executive,0,0.0
2023-11-01,Executive,0,0.0
2023-12-01,Executive,0,0.0
2024-01-01,Executive,0,0.0
2024-02-01,Executive,0,0.0
2024-03-01,Executive,0,0.0
2024-04-01,Executive,0,0.0
2024-05-01,Executive,0,0.0
2024-06-01,Executive,0,0.0
2024-07-01,Executive,0,0.0
2024-08-01,Executive,0,0.0
2024-09-01,Executive,0,0.0
2024-10-01,Executive,0,0.0
2024-11-01,Executive,0,0.0
2024-12-01,Executive,0,0.0
2025-01-01,Executive,0,0.0
2025-02-01,Executive,0,0.0
2025-03-01,Executive,0,0.0
