asset_id,type,make_model,dept,assigned_to,purchase_date,warranty_end,status
AST00001,Laptop,Lenovo ThinkPad,Engineering,E1000,2022-03-15,2025-03-14,Active
AST00002,Laptop,HP ThinkPad,Engineering,E1001,2021-11-27,2024-11-26,Active
AST00003,Laptop,HP MacBook Pro,Engineering,E1003,2022-11-21,2025-11-20,Active
AST00004,Laptop,HP ProBook,Engineering,E1004,2023-04-06,2026-04-05,Active
AST00005,Laptop,Dell ProBook,Engineering,E1005,2024-11-13,2027-11-13,Active
AST00006,Laptop,Apple ThinkPad,Engineering,E1006,2020-07-19,2023-07-19,Active
AST00007,Laptop,HP ThinkPad,Engineering,E1007,2020-08-20,2023-08-20,Active
AST00008,Laptop,Dell ThinkPad,Engineering,E1008,2024-02-01,2027-01-31,Active
AST00009,Laptop,Dell XPS,Engineering,E1009,2020-03-14,2023-03-14,Active
AST00010,Laptop,Apple XPS,Engineering,E1010,2025-06-01,2028-05-31,Active
AST00011,Laptop,HP ThinkPad,Engineering,E1011,2022-07-05,2025-07-04,Active
AST00012,Laptop,Apple ProBook,Engineering,E1012,2023-01-04,2026-01-03,Active
AST00013,Laptop,Dell ProBook,Engineering,E1013,2022-04-15,2025-04-14,Active
AST00014,Laptop,Apple ProBook,Engineering,E1014,2023-01-21,2026-01-20,Active
AST00015,Laptop,Dell ThinkPad,Engineering,E1015,2023-04-06,2026-04-05,Active
AST00016,Laptop,Apple XPS,Engineering,E1017,2025-04-14,2028-04-13,Active
AST00017,Laptop,Dell MacBook Pro,Engineering,E1018,2025-06-21,2028-06-20,Active
AST00018,Laptop,Lenovo ProBook,Engineering,E1019,2023-04-28,2026-04-27,Active
AST00019,Laptop,Lenovo ProBook,Engineering,E1020,2024-05-20,2027-05-20,Active
AST00020,Laptop,Lenovo ProBook,Engineering,E1021,2022-11-14,2025-11-13,Active
AST00021,Laptop,Apple MacBook Pro,Engineering,E1022,2021-08-29,2024-08-28,Active
AST00022,Laptop,Lenovo ProBook,Engineering,E1023,2021-05-09,2024-05-08,Active
AST00023,Laptop,Dell XPS,Engineering,E1024,2021-04-27,2024-04-26,Active
