license_id,product,vendor,seats_purchased,seats_used,utilization_pct,renewal_date,annual_cost
LIC001,SolidWorks,Dassault Systèmes,45,38,84.4,2026-12-31,28500
LIC002,Microsoft 365,Microsoft,320,298,93.1,2027-01-31,64000
LIC003,AutoCAD,Autodesk,20,17,85.0,2026-09-30,18000
LIC004,SAP ERP,SAP,50,48,96.0,2027-06-30,125000
LIC005,Salesforce,Salesforce,35,31,88.6,2026-11-30,52500
LIC006,Adobe Creative,Adobe,12,9,75.0,2026-10-31,8400
LIC007,MATLAB,MathWorks,10,8,80.0,2027-03-31,22000
LIC008,Zoom,Zoom Video,320,310,96.9,2027-01-31,38400
LIC009,Slack,Salesforce,320,285,89.1,2027-01-31,28800
LIC010,Jira,Atlassian,80,72,90.0,2026-08-31,9600
LIC011,Confluence,Atlassian,80,65,81.2,2026-08-31,6400
LIC012,Tableau,Salesforce,25,18,72.0,2026-12-31,35000
LIC013,GitHub Enterprise,GitHub,60,55,91.7,2027-01-31,21000
LIC014,CrowdStrike,CrowdStrike,320,320,100.0,2026-12-31,48000
LIC015,DocuSign,DocuSign,30,22,73.3,2026-09-30,9000
