ticket_id,date,category,priority,dept,description,resolved_date,resolution_hrs
TKT00001,2024-10-11,Software,Low,Executive,Software issue reported,2024-10-12,43.5
TKT00002,2025-03-15,Hardware,Low,Engineering,Email issue reported,2025-03-19,99.3
TKT00003,2026-02-12,Network,Low,IT,Other issue reported,2026-02-18,159.0
TKT00004,2025-07-30,Other,Low,Engineering,Software issue reported,2025-08-05,150.1
TKT00005,2024-11-19,Access,Medium,Finance,Hardware issue reported,2024-11-19,19.1
TKT00006,2024-05-09,Security,Medium,Sales,Email issue reported,2024-05-09,9.4
TKT00007,2026-04-16,Email,Critical,HR,Other issue reported,2026-04-16,2.6
TKT00008,2024-01-25,Hardware,Low,IT,Email issue reported,2024-01-31,147.0
TKT00009,2024-07-11,Access,Critical,Engineering,Printing issue reported,2024-07-11,2.1
TKT00010,2026-02-03,Other,Low,Procurement,Security issue reported,2026-02-04,43.0
TKT00011,2025-06-14,Email,Medium,Quality,Other issue reported,2025-06-15,39.6
TKT00012,2024-09-21,Email,Medium,HR,Printing issue reported,2024-09-23,58.6
TKT00013,2024-01-09,Other,Medium,Manufacturing,Network issue reported,2024-01-11,67.6
TKT00014,2025-01-31,Security,Medium,Quality,Software issue reported,2025-02-02,59.3
TKT00015,2024-06-02,Network,Medium,Manufacturing,Software issue reported,2024-06-04,50.8
TKT00016,2026-05-03,Software,Medium,Engineering,Security issue reported,2026-05-04,37.2
TKT00017,2025-09-17,Email,Medium,Sales,Network issue reported,2025-09-17,19.6
TKT00018,2026-01-18,Hardware,Critical,Executive,Network issue reported,2026-01-18,0.7
TKT00019,2024-10-14,Printing,Medium,Quality,Security issue reported,2024-10-16,65.8
TKT00020,2024-10-19,Network,High,Manufacturing,Other issue reported,2024-10-19,10.7
TKT00021,2026-03-11,Other,High,Engineering,Security issue reported,2026-03-11,6.6
TKT00022,2024-02-18,Printing,Medium,Sales,Software issue reported,2024-02-19,36.3
TKT00023,2025-08-13,Software,Medium,Manufacturing,Network issue reported,2025-08-13,20.8
TKT00024,2024-04-03,Security,High,Quality,Email issue reported,2024-04-03,16.4
TKT00025,2025-09-03,Email,High,HR,Other issue reported,2025-09-03,12.9
TKT00026,2024-04-27,Email,Low,Executive,Network issue reported,2024-04-28,32.2
TKT00027,2024-05-11,Email,Low,Engineering,Hardware issue reported,2024-05-12,38.0
TKT00028,2024-10-13,Software,Low,Manufacturing,Access issue reported,2024-10-14,47.5
TKT00029,2025-10-14,Security,Medium,Quality,Access issue reported,2025-10-16,52.4
TKT00030,2025-09-10,Hardware,Medium,Quality,Access issue reported,2025-09-10,13.8
