month,part_id,category,qty_on_hand,qty_on_order,unit_cost,total_value
2023-01-01,PT0001,Packaging,2463,950,264.02,650281.26
2023-01-01,PT0002,MRO,3873,741,26.81,103835.13
2023-01-01,PT0003,Raw Material,3295,283,255.16,840752.2
2023-01-01,PT0004,Raw Material,4203,1352,4.03,16938.09
2023-01-01,PT0005,MRO,3357,942,407.56,1368178.92
2023-01-01,PT0006,Packaging,1474,1035,453.4,668311.6
2023-01-01,PT0007,Raw Material,4510,1940,426.79,1924822.9
2023-01-01,PT0008,Packaging,162,774,189.33,30671.46
2023-01-01,PT0009,MRO,4180,1394,414.32,1731857.6
2023-01-01,PT0010,Packaging,1357,996,33.04,44835.28
2023-01-01,PT0011,Packaging,1388,756,25.15,34908.2
2023-01-01,PT0012,WIP,2231,772,265.12,591482.72
2023-01-01,PT0013,Finished Goods,240,864,245.48,58915.2
2023-01-01,PT0014,Packaging,3733,1222,377.04,1407490.32
2023-01-01,PT0015,WIP,2388,206,78.15,186622.2
2023-01-01,PT0016,Packaging,3788,1238,296.65,1123710.2
2023-01-01,PT0017,MRO,1060,84,6.55,6943.0
2023-01-01,PT0018,Packaging,1787,541,32.55,58166.85
2023-01-01,PT0019,Packaging,4523,1872,352.25,1593226.75
2023-01-01,PT0020,Finished Goods,2167,527,429.53,930791.51
2023-01-01,PT0021,Packaging,4563,1174,478.28,2182391.64
2023-01-01,PT0022,Raw Material,2275,1837,458.04,1042041.0
2023-01-01,PT0023,Packaging,2138,852,121.52,259809.76
2023-01-01,PT0024,Finished Goods,3800,1875,262.66,998108.0
2023-01-01,PT0025,WIP,1547,204,189.17,292645.99
2023-01-01,PT0026,WIP,4181,1408,36.39,152146.59
2023-01-01,PT0027,Raw Material,3511,1531,206.29,724284.19
2023-01-01,PT0028,MRO,2672,1888,146.11,390405.92
2023-01-01,PT0029,Packaging,3953,1301,429.1,1696232.3
2023-01-01,PT0030,Finished Goods,249,1087,109.89,27362.61
2023-01-01,PT0031,MRO,120,1724,352.22,42266.4
2023-01-01,PT0032,WIP,1467,1888,217.28,318749.76
2023-01-01,PT0033,Finished Goods,2025,898,343.16,694899.0
2023-01-01,PT0034,Raw Material,4358,1080,63.64,277343.12
2023-01-01,PT0035,MRO,707,683,13.66,9657.62
2023-01-01,PT0036,Finished Goods,856,481,237.29,203120.24
2023-01-01,PT0037,MRO,687,581,99.14,68109.18
2023-01-01,PT0038,WIP,1028,1721,472.01,485226.28
2023-01-01,PT0039,MRO,3226,281,325.13,1048869.38
2023-01-01,PT0040,Finished Goods,4983,564,234.33,1167666.39
2023-02-01,PT0001,Finished Goods,961,1017,121.32,116588.52
2023-02-01,PT0002,Packaging,1901,1479,79.24,150635.24
2023-02-01,PT0003,Raw Material,3962,836,172.27,682533.74
2023-02-01,PT0004,MRO,4374,632,67.57,295551.18
2023-02-01,PT0005,Raw Material,3658,1066,447.17,1635747.86
2023-02-01,PT0006,Finished Goods,3334,518,347.48,1158498.32
2023-02-01,PT0007,Raw Material,2770,905,371.12,1028002.4
2023-02-01,PT0008,MRO,3213,284,144.5,464278.5
2023-02-01,PT0009,Raw Material,4029,1046,291.95,1176266.55
2023-02-01,PT0010,Finished Goods,2859,1292,409.01,1169359.59
2023-02-01,PT0011,WIP,2864,1359,155.02,443977.28
2023-02-01,PT0012,Finished Goods,2786,1151,74.72,208169.92
2023-02-01,PT0013,MRO,1479,1249,196.42,290505.18
2023-02-01,PT0014,WIP,499,948,278.76,139101.24
2023-02-01,PT0015,WIP,3490,967,67.77,236517.3
2023-02-01,PT0016,Packaging,3600,1364,133.41,480276.0
2023-02-01,PT0017,Raw Material,2178,213,50.22,109379.16
2023-02-01,PT0018,WIP,3640,1468,251.84,916697.6
2023-02-01,PT0019,WIP,4453,1076,271.3,1208098.9
2023-02-01,PT0020,WIP,1155,1645,479.7,554053.5
2023-02-01,PT0021,WIP,4348,799,405.06,1761200.88
2023-02-01,PT0022,WIP,2121,866,77.35,164059.35
2023-02-01,PT0023,Packaging,1579,1153,359.38,567461.02
2023-02-01,PT0024,MRO,761,123,433.58,329954.38
2023-02-01,PT0025,WIP,3105,1018,176.39,547690.95
2023-02-01,PT0026,Finished Goods,474,1145,311.99,147883.26
2023-02-01,PT0027,Finished Goods,698,1445,99.37,69360.26
2023-02-01,PT0028,Finished Goods,4798,329,404.15,1939111.7
2023-02-01,PT0029,MRO,1949,1283,72.78,141848.22
2023-02-01,PT0030,Finished Goods,3316,64,4.46,14789.36
2023-02-01,PT0031,Raw Material,1267,1683,354.6,449278.2
2023-02-01,PT0032,MRO,2387,1751,201.58,481171.46
2023-02-01,PT0033,MRO,347,1199,309.71,107469.37
2023-02-01,PT0034,MRO,347,1160,38.91,13501.77
2023-02-01,PT0035,Raw Material,4943,217,5.57,27532.51
