week_ending,line_id,availability,performance,quality,oee
2023-01-01,L1,0.915,0.917,0.968,0.812
2023-01-01,L2,0.902,0.898,0.969,0.785
2023-01-01,L3,0.943,0.949,0.981,0.878
2023-01-01,L4,0.965,0.951,0.966,0.887
2023-01-08,L1,0.939,0.873,0.965,0.791
2023-01-08,L2,0.906,0.865,0.964,0.755
2023-01-08,L3,0.913,0.935,0.983,0.839
2023-01-08,L4,0.889,0.854,0.978,0.743
2023-01-15,L1,0.901,0.857,0.979,0.756
2023-01-15,L2,0.907,0.921,0.965,0.806
2023-01-15,L3,0.904,0.92,0.98,0.815
2023-01-15,L4,0.937,0.928,0.97,0.843
2023-01-22,L1,0.902,0.917,0.979,0.81
2023-01-22,L2,0.946,0.879,0.965,0.802
2023-01-22,L3,0.962,0.928,0.96,0.857
2023-01-22,L4,0.943,0.946,0.978,0.872
2023-01-29,L1,0.958,0.91,0.978,0.853
2023-01-29,L2,0.925,0.868,0.968,0.777
2023-01-29,L3,0.907,0.926,0.969,0.814
2023-01-29,L4,0.946,0.856,0.974,0.789
2023-02-05,L1,0.965,0.873,0.972,0.819
2023-02-05,L2,0.881,0.915,0.984,0.793
2023-02-05,L3,0.96,0.957,0.984,0.904
2023-02-05,L4,0.962,0.861,0.982,0.813
2023-02-12,L1,0.901,0.919,0.967,0.801
2023-02-12,L2,0.934,0.925,0.974,0.841
2023-02-12,L3,0.913,0.861,0.966,0.759
2023-02-12,L4,0.903,0.895,0.985,0.796
2023-02-19,L1,0.913,0.875,0.964,0.77
2023-02-19,L2,0.911,0.896,0.963,0.786
2023-02-19,L3,0.916,0.905,0.97,0.804
2023-02-19,L4,0.949,0.868,0.979,0.806
2023-02-26,L1,0.96,0.889,0.972,0.83
2023-02-26,L2,0.947,0.914,0.968,0.838
2023-02-26,L3,0.905,0.854,0.961,0.743
2023-02-26,L4,0.931,0.906,0.98,0.827
2023-03-05,L1,0.891,0.949,0.976,0.825
2023-03-05,L2,0.888,0.887,0.972,0.766
2023-03-05,L3,0.964,0.854,0.967,0.796
2023-03-05,L4,0.914,0.954,0.962,0.839
2023-03-12,L1,0.955,0.935,0.971,0.867
2023-03-12,L2,0.961,0.887,0.981,0.836
2023-03-12,L3,0.904,0.862,0.965,0.752
2023-03-12,L4,0.904,0.957,0.977,0.845
2023-03-19,L1,0.925,0.92,0.975,0.83
2023-03-19,L2,0.951,0.931,0.967,0.856
2023-03-19,L3,0.969,0.878,0.976,0.83
2023-03-19,L4,0.956,0.938,0.963,0.864
2023-03-26,L1,0.9,0.93,0.972,0.814
2023-03-26,L2,0.884,0.915,0.972,0.786
2023-03-26,L3,0.919,0.852,0.965,0.756
2023-03-26,L4,0.929,0.871,0.966,0.782
2023-04-02,L1,0.915,0.886,0.964,0.782
2023-04-02,L2,0.961,0.94,0.977,0.883
2023-04-02,L3,0.88,0.938,0.967,0.798
2023-04-02,L4,0.941,0.884,0.967,0.804
2023-04-09,L1,0.949,0.88,0.98,0.818
2023-04-09,L2,0.919,0.864,0.969,0.769
2023-04-09,L3,0.905,0.886,0.969,0.777
2023-04-09,L4,0.888,0.872,0.98,0.759
2023-04-16,L1,0.919,0.867,0.962,0.766
2023-04-16,L2,0.928,0.953,0.982,0.868
2023-04-16,L3,0.912,0.858,0.96,0.751
2023-04-16,L4,0.94,0.88,0.963,0.797
2023-04-23,L1,0.967,0.89,0.964,0.83
2023-04-23,L2,0.923,0.851,0.97,0.762
2023-04-23,L3,0.929,0.92,0.973,0.832
2023-04-23,L4,0.905,0.946,0.983,0.842
2023-04-30,L1,0.943,0.898,0.972,0.823
2023-04-30,L2,0.894,0.871,0.968,0.754
2023-04-30,L3,0.942,0.87,0.975,0.799
2023-04-30,L4,0.924,0.953,0.978,0.861
2023-05-07,L1,0.902,0.895,0.964,0.778
2023-05-07,L2,0.902,0.867,0.97,0.759
2023-05-07,L3,0.92,0.951,0.971,0.85
2023-05-07,L4,0.906,0.947,0.968,0.831
2023-05-14,L1,0.926,0.906,0.963,0.808
2023-05-14,L2,0.937,0.882,0.97,0.802
2023-05-14,L3,0.967,0.92,0.971,0.864
2023-05-14,L4,0.906,0.925,0.984,0.825
2023-05-21,L1,0.906,0.917,0.965,0.802
2023-05-21,L2,0.887,0.896,0.969,0.77
2023-05-21,L3,0.96,0.867,0.982,0.817
2023-05-21,L4,0.945,0.947,0.97,0.868
2023-05-28,L1,0.903,0.94,0.984,0.835
2023-05-28,L2,0.88,0.926,0.966,0.787
2023-05-28,L3,0.938,0.949,0.976,0.869
2023-05-28,L4,0.899,0.871,0.965,0.756
2023-06-04,L1,0.916,0.949,0.978,0.85
2023-06-04,L2,0.899,0.862,0.971,0.752
2023-06-04,L3,0.881,0.877,0.961,0.743
2023-06-04,L4,0.899,0.925,0.966,0.803
2023-06-11,L1,0.898,0.922,0.98,0.811
2023-06-11,L2,0.94,0.948,0.962,0.857
2023-06-11,L3,0.881,0.894,0.967,0.762
2023-06-11,L4,0.954,0.867,0.971,0.803
2023-06-18,L1,0.928,0.946,0.982,0.862
2023-06-18,L2,0.9,0.908,0.977,0.798
2023-06-18,L3,0.962,0.921,0.969,0.859
2023-06-18,L4,0.897,0.862,0.967,0.748
2023-06-25,L1,0.96,0.948,0.974,0.886
2023-06-25,L2,0.929,0.86,0.972,0.777
2023-06-25,L3,0.903,0.86,0.968,0.752
2023-06-25,L4,0.952,0.852,0.969,0.786
2023-07-02,L1,0.918,0.905,0.981,0.815
2023-07-02,L2,0.901,0.892,0.961,0.772
2023-07-02,L3,0.916,0.955,0.97,0.849
2023-07-02,L4,0.969,0.869,0.964,0.812
2023-07-09,L1,0.958,0.904,0.976,0.845
2023-07-09,L2,0.892,0.953,0.984,0.836
2023-07-09,L3,0.889,0.936,0.985,0.82
2023-07-09,L4,0.893,0.955,0.971,0.828
2023-07-16,L1,0.938,0.954,0.979,0.876
2023-07-16,L2,0.91,0.955,0.963,0.837
2023-07-16,L3,0.885,0.882,0.962,0.751
2023-07-16,L4,0.958,0.943,0.982,0.887
2023-07-23,L1,0.925,0.922,0.97,0.827
2023-07-23,L2,0.944,0.947,0.962,0.86
2023-07-23,L3,0.931,0.917,0.976,0.833
2023-07-23,L4,0.897,0.955,0.973,0.834
2023-07-30,L1,0.918,0.891,0.985,0.806
2023-07-30,L2,0.899,0.911,0.979,0.802
2023-07-30,L3,0.93,0.939,0.983,0.858
2023-07-30,L4,0.89,0.855,0.984,0.749
2023-08-06,L1,0.922,0.872,0.973,0.782
2023-08-06,L2,0.968,0.859,0.967,0.804
2023-08-06,L3,0.898,0.852,0.975,0.746
2023-08-06,L4,0.934,0.955,0.961,0.857
2023-08-13,L1,0.885,0.943,0.978,0.816
2023-08-13,L2,0.915,0.894,0.961,0.786
2023-08-13,L3,0.881,0.869,0.976,0.747
2023-08-13,L4,0.906,0.881,0.981,0.783
2023-08-20,L1,0.96,0.899,0.973,0.84
2023-08-20,L2,0.928,0.908,0.964,0.812
2023-08-20,L3,0.901,0.901,0.973,0.79
2023-08-20,L4,0.96,0.953,0.964,0.882
2023-08-27,L1,0.951,0.873,0.963,0.8
2023-08-27,L2,0.921,0.925,0.984,0.838
2023-08-27,L3,0.91,0.854,0.967,0.751
2023-08-27,L4,0.94,0.924,0.974,0.846
2023-09-03,L1,0.966,0.948,0.972,0.89
2023-09-03,L2,0.96,0.882,0.976,0.826
2023-09-03,L3,0.926,0.894,0.968,0.801
2023-09-03,L4,0.934,0.9,0.961,0.808
2023-09-10,L1,0.923,0.919,0.981,0.832
2023-09-10,L2,0.896,0.958,0.979,0.84
2023-09-10,L3,0.9,0.895,0.975,0.785
2023-09-10,L4,0.927,0.903,0.969,0.811
2023-09-17,L1,0.968,0.921,0.976,0.87
2023-09-17,L2,0.905,0.951,0.974,0.838
2023-09-17,L3,0.929,0.89,0.96,0.794
2023-09-17,L4,0.947,0.932,0.984,0.868
2023-09-24,L1,0.936,0.856,0.965,0.773
2023-09-24,L2,0.92,0.866,0.976,0.778
2023-09-24,L3,0.887,0.875,0.969,0.752
2023-09-24,L4,0.933,0.905,0.967,0.817
