month,product_id,planned_units,actual_units,efficiency_pct
2023-01-01,P001,3907,3670,93.9
2023-01-01,P002,2510,2266,90.3
2023-01-01,P003,3560,3350,94.1
2023-01-01,P004,2774,2524,91.0
2023-01-01,P005,3444,3013,87.5
2023-01-01,P006,3070,2830,92.2
2023-01-01,P007,2501,2329,93.1
2023-01-01,P008,2227,2042,91.7
2023-01-01,P009,2488,2193,88.2
2023-01-01,P010,1723,1522,88.4
2023-02-01,P001,2799,2513,89.8
2023-02-01,P002,1832,1734,94.7
2023-02-01,P003,3442,3177,92.3
2023-02-01,P004,2687,2437,90.7
2023-02-01,P005,3323,3083,92.8
2023-02-01,P006,3651,3394,93.0
2023-02-01,P007,1779,1630,91.7
2023-02-01,P008,3832,3512,91.7
2023-02-01,P009,3279,2916,88.9
2023-02-01,P010,3196,2995,93.7
2023-03-01,P001,1821,1727,94.9
2023-03-01,P002,3851,3463,89.9
2023-03-01,P003,2690,2529,94.0
2023-03-01,P004,2843,2723,95.8
2023-03-01,P005,3899,3439,88.2
2023-03-01,P006,1764,1552,88.0
2023-03-01,P007,3794,3415,90.0
2023-03-01,P008,3294,2917,88.6
2023-03-01,P009,2860,2735,95.7
2023-03-01,P010,1711,1502,87.8
2023-04-01,P001,2650,2415,91.1
2023-04-01,P002,3524,3220,91.4
2023-04-01,P003,3230,2850,88.2
2023-04-01,P004,2305,2110,91.5
2023-04-01,P005,3889,3516,90.4
2023-04-01,P006,2946,2640,89.6
2023-04-01,P007,3804,3632,95.5
2023-04-01,P008,3521,3278,93.1
2023-04-01,P009,3835,3366,87.8
2023-04-01,P010,3460,3182,92.0
2023-05-01,P001,2129,2007,94.3
2023-05-01,P002,2053,1789,87.2
2023-05-01,P003,3753,3507,93.5
2023-05-01,P004,2005,1748,87.2
2023-05-01,P005,1623,1426,87.9
2023-05-01,P006,2546,2255,88.6
2023-05-01,P007,3170,2948,93.0
2023-05-01,P008,3941,3449,87.5
2023-05-01,P009,2246,2018,89.9
2023-05-01,P010,2818,2575,91.4
2023-06-01,P001,3900,3512,90.1
2023-06-01,P002,2537,2405,94.8
2023-06-01,P003,1675,1542,92.1
2023-06-01,P004,3128,2846,91.0
2023-06-01,P005,1557,1447,93.0
2023-06-01,P006,1532,1333,87.0
2023-06-01,P007,2586,2396,92.7
2023-06-01,P008,2946,2699,91.6
2023-06-01,P009,3481,3310,95.1
2023-06-01,P010,2617,2313,88.4
2023-07-01,P001,2214,2022,91.4
2023-07-01,P002,2700,2562,94.9
2023-07-01,P003,3913,3741,95.6
2023-07-01,P004,3234,2915,90.1
2023-07-01,P005,2026,1875,92.6
2023-07-01,P006,3614,3208,88.8
2023-07-01,P007,1683,1608,95.5
2023-07-01,P008,2914,2565,88.0
2023-07-01,P009,2009,1853,92.3
2023-07-01,P010,2136,2001,93.7
2023-08-01,P001,1761,1560,88.6
2023-08-01,P002,2389,2264,94.8
2023-08-01,P003,2548,2263,88.9
2023-08-01,P004,2462,2214,89.9
2023-08-01,P005,3269,2980,91.2
2023-08-01,P006,3332,3102,93.1
2023-08-01,P007,3538,3219,91.0
2023-08-01,P008,2526,2402,95.1
2023-08-01,P009,2032,1838,90.5
2023-08-01,P010,2871,2635,91.8
2023-09-01,P001,3474,3123,89.9
2023-09-01,P002,2347,2182,93.0
2023-09-01,P003,1537,1378,89.7
2023-09-01,P004,3917,3562,90.9
2023-09-01,P005,1877,1676,89.3
2023-09-01,P006,3426,3261,95.2
2023-09-01,P007,1807,1674,92.7
2023-09-01,P008,2246,2129,94.8
2023-09-01,P009,1622,1550,95.6
2023-09-01,P010,3191,2800,87.8
2023-10-01,P001,3861,3566,92.4
2023-10-01,P002,3471,3282,94.6
2023-10-01,P003,3115,2820,90.5
2023-10-01,P004,3188,2946,92.4
