week_ending,line_id,product_id,planned_units,actual_units,scrap_units,scrap_rate_pct,downtime_hours
2023-01-01,L1,P001,853,815,12,1.52,2.5
2023-01-01,L2,P006,774,694,13,1.94,2.9
2023-01-01,L3,P004,472,451,10,2.24,2.9
2023-01-01,L4,P003,603,582,10,1.86,0
2023-01-08,L1,P002,761,702,11,1.7,0
2023-01-08,L2,P001,511,455,7,1.56,0
2023-01-08,L3,P005,526,494,10,2.1,0
2023-01-08,L4,P005,885,800,13,1.65,2.5
2023-01-15,L1,P004,618,548,12,2.35,2.0
2023-01-15,L2,P007,771,696,16,2.43,4.3
2023-01-15,L3,P006,764,715,16,2.34,0
2023-01-15,L4,P002,488,449,7,1.69,4.4
2023-01-22,L1,P005,748,707,15,2.16,4.5
2023-01-22,L2,P004,467,446,10,2.43,0.6
2023-01-22,L3,P004,707,683,12,1.89,0
2023-01-22,L4,P003,643,588,11,1.96,0
2023-01-29,L1,P005,763,673,14,2.17,0
2023-01-29,L2,P005,772,743,13,1.84,0.9
2023-01-29,L3,P007,518,479,11,2.46,0
2023-01-29,L4,P006,403,388,8,2.21,0
2023-02-05,L1,P003,419,386,8,2.15,0
2023-02-05,L2,P006,700,638,14,2.29,0
2023-02-05,L3,P003,626,594,14,2.4,4.9
2023-02-05,L4,P003,505,472,8,1.82,5.5
2023-02-12,L1,P004,819,767,18,2.38,4.8
2023-02-12,L2,P008,666,643,13,2.11,0
2023-02-12,L3,P003,440,419,7,1.84,1.3
2023-02-12,L4,P001,650,597,9,1.67,5.4
2023-02-19,L1,P005,888,861,17,2.02,0
2023-02-19,L2,P007,897,853,19,2.33,3.2
2023-02-19,L3,P006,862,786,13,1.75,0
2023-02-19,L4,P006,492,433,8,2.07,3.6
2023-02-26,L1,P004,415,390,8,2.07,3.1
2023-02-26,L2,P004,830,747,14,1.95,0
2023-02-26,L3,P004,453,438,9,2.11,0
2023-02-26,L4,P005,881,782,14,1.81,5.4
2023-03-05,L1,P003,750,706,15,2.17,0
2023-03-05,L2,P001,669,597,12,2.04,3.8
2023-03-05,L3,P008,477,427,8,2.06,0
2023-03-05,L4,P002,846,756,17,2.25,5.1
2023-03-12,L1,P005,577,517,10,2.1,0
2023-03-12,L2,P006,691,633,9,1.54,0.9
2023-03-12,L3,P006,815,762,17,2.28,0
2023-03-12,L4,P008,884,805,15,1.96,3.9
2023-03-19,L1,P004,485,435,10,2.32,3.5
2023-03-19,L2,P007,842,741,15,2.11,0
2023-03-19,L3,P008,572,503,12,2.45,0
2023-03-19,L4,P002,884,795,12,1.52,3.9
2023-03-26,L1,P007,652,611,12,2.02,0
2023-03-26,L2,P006,574,540,9,1.84,0
2023-03-26,L3,P006,694,657,11,1.8,3.9
2023-03-26,L4,P008,490,470,8,1.89,0
2023-04-02,L1,P007,465,427,8,2.0,0
2023-04-02,L2,P002,676,650,11,1.79,0
2023-04-02,L3,P001,557,529,12,2.42,0
2023-04-02,L4,P005,791,743,17,2.41,0
2023-04-09,L1,P005,864,791,12,1.61,0
2023-04-09,L2,P005,739,663,11,1.8,0
2023-04-09,L3,P005,454,416,9,2.38,0
2023-04-09,L4,P007,629,568,8,1.53,4.2
2023-04-16,L1,P007,688,637,14,2.33,0
2023-04-16,L2,P006,672,610,10,1.77,4.6
2023-04-16,L3,P001,602,564,13,2.44,1.3
2023-04-16,L4,P007,548,529,10,2.0,0
2023-04-23,L1,P008,675,631,11,1.82,0.8
2023-04-23,L2,P003,542,505,12,2.38,4.6
2023-04-23,L3,P006,746,701,14,2.02,5.4
2023-04-23,L4,P004,879,808,12,1.51,2.1
2023-04-30,L1,P008,721,672,12,1.89,3.3
2023-04-30,L2,P008,591,541,11,2.08,0
2023-04-30,L3,P003,787,696,17,2.47,0
2023-04-30,L4,P004,742,717,15,2.23,1.6
2023-05-07,L1,P006,797,736,12,1.64,3.2
2023-05-07,L2,P003,437,390,6,1.75,4.8
2023-05-07,L3,P008,737,682,14,2.08,0
2023-05-07,L4,P002,588,529,11,2.21,4.8
2023-05-14,L1,P007,410,361,7,2.04,0
2023-05-14,L2,P001,848,812,19,2.42,0
2023-05-14,L3,P004,608,570,8,1.55,0
2023-05-14,L4,P001,503,483,8,1.77,0
2023-05-21,L1,P004,820,768,14,1.84,3.7
2023-05-21,L2,P006,622,588,11,2.04,0
2023-05-21,L3,P008,843,796,15,1.94,0
2023-05-21,L4,P008,810,715,11,1.54,5.7
2023-05-28,L1,P002,825,746,12,1.74,0
2023-05-28,L2,P001,426,404,9,2.23,5.3
2023-05-28,L3,P008,558,535,9,1.78,2.9
2023-05-28,L4,P007,522,483,10,2.2,5.3
2023-06-04,L1,P006,856,790,15,1.99,0.5
2023-06-04,L2,P006,530,512,11,2.33,1.2
2023-06-04,L3,P003,548,519,11,2.22,2.0
