wo_id,product_id,line_id,start_date,end_date,status,planned_hrs,actual_hrs
WO00001,P004,L1,2025-07-21,2025-08-06,Completed,12.9,14.5
WO00002,P015,L4,2025-01-11,2025-01-17,Completed,34.6,29.9
WO00003,P007,L2,2025-11-06,2025-11-17,Completed,64.6,69.0
WO00004,P005,L4,2025-07-31,2025-08-15,Completed,9.3,8.7
WO00005,P011,L4,2025-12-21,2025-12-22,Completed,43.5,35.3
WO00006,P011,L4,2025-03-09,2025-03-12,Completed,71.6,86.6
WO00007,P008,L3,2025-11-11,2025-11-20,Completed,7.7,6.8
WO00008,P008,L3,2026-06-06,2026-06-26,Completed,23.4,22.0
WO00009,P015,L2,2026-03-29,2026-04-18,Completed,66.8,67.0
WO00010,P007,L1,2025-10-21,2025-10-31,Completed,44.9,44.8
WO00011,P012,L4,2025-04-30,2025-05-04,Completed,44.9,37.6
WO00012,P002,L2,2026-05-17,2026-06-01,Completed,53.0,50.2
WO00013,P008,L4,2025-10-23,2025-11-11,Completed,35.7,45.9
WO00014,P012,L3,2026-01-19,2026-01-24,Completed,39.2,36.0
WO00015,P004,L1,2026-06-13,2026-06-30,Completed,11.9,12.0
WO00016,P006,L3,2025-05-04,2025-05-11,Completed,64.1,60.2
WO00017,P013,L3,2025-12-18,2026-01-02,Completed,49.4,55.2
WO00018,P001,L4,2025-03-04,2025-03-20,Completed,71.9,80.6
WO00019,P014,L3,2026-01-18,2026-01-29,Completed,77.6,63.1
WO00020,P001,L1,2026-05-12,2026-05-19,Completed,11.9,15.0
WO00021,P002,L2,2026-04-28,2026-05-04,Completed,77.1,84.3
WO00022,P002,L2,2026-01-01,2026-01-14,Completed,38.0,32.8
WO00023,P001,L3,2026-01-10,2026-01-21,Completed,63.9,80.4
WO00024,P003,L3,2025-04-18,2025-05-04,Completed,39.7,44.4
WO00025,P006,L4,2025-11-25,2025-11-30,Completed,74.2,74.3
WO00026,P015,L2,2025-10-04,2025-10-11,Completed,37.3,32.7
WO00027,P012,L2,2025-06-07,2025-06-08,Completed,18.0,14.9
WO00028,P002,L1,2026-03-05,2026-03-15,Completed,72.7,72.9
WO00029,P008,L2,2026-01-21,2026-02-01,Completed,15.9,13.2
WO00030,P014,L1,2025-10-13,2025-10-30,Completed,39.1,32.2
WO00031,P007,L4,2025-08-26,2025-09-10,Completed,16.9,13.8
WO00032,P010,L2,2025-06-14,2025-06-18,Completed,59.8,58.1
WO00033,P012,L2,2025-07-03,2025-07-05,Completed,32.5,26.0
WO00034,P012,L3,2025-02-12,2025-02-25,Completed,71.9,71.5
WO00035,P011,L1,2025-12-10,2025-12-28,Completed,43.5,40.7
WO00036,P006,L2,2025-08-11,2025-08-24,Completed,23.0,28.8
WO00037,P002,L1,2025-01-28,2025-01-30,Completed,64.4,73.3
WO00038,P001,L4,2026-05-19,2026-06-01,Completed,60.8,57.7
WO00039,P013,L4,2025-05-28,2025-06-05,Completed,75.9,64.4
WO00040,P006,L1,2026-04-23,2026-05-04,Completed,13.5,13.3
WO00041,P010,L2,2026-02-22,2026-02-23,Completed,29.6,30.1
WO00042,P004,L1,2025-10-05,2025-10-12,Completed,24.6,21.9
WO00043,P001,L4,2025-02-17,2025-02-27,Completed,20.5,24.5
