po_id,supplier_id,date,due_date,line_items_count,total_value,status
PO00001,SUP006,2025-09-24,2025-11-16,2,42710.58,Partial
PO00002,SUP018,2024-01-16,2024-02-05,7,6323.61,Partial
PO00003,SUP010,2024-09-13,2024-09-21,11,61156.84,Invoiced
PO00004,SUP003,2025-09-18,2025-10-18,7,28627.72,Partial
PO00005,SUP024,2025-06-19,2025-07-13,9,25913.58,Partial
PO00006,SUP019,2024-07-02,2024-08-29,3,45939.28,Partial
PO00007,SUP023,2025-02-15,2025-02-24,12,11803.18,Invoiced
PO00008,SUP008,2024-12-31,2025-01-11,2,56538.15,Partial
PO00009,SUP017,2025-10-11,2025-11-12,4,35611.74,Received
PO00010,SUP018,2026-01-22,2026-01-31,6,46035.8,Cancelled
PO00011,SUP002,2025-04-30,2025-05-07,11,80406.95,Partial
PO00012,SUP008,2024-12-11,2025-01-29,12,9364.74,Partial
PO00013,SUP020,2024-07-15,2024-07-27,8,14062.24,Open
PO00014,SUP002,2025-07-08,2025-08-27,5,28097.98,Received
PO00015,SUP021,2024-03-19,2024-05-13,5,38259.4,Invoiced
PO00016,SUP013,2024-04-16,2024-06-11,3,36145.08,Open
PO00017,SUP017,2025-07-02,2025-08-23,10,51656.96,Partial
PO00018,SUP011,2025-06-01,2025-07-30,6,16936.84,Cancelled
PO00019,SUP019,2025-09-07,2025-10-26,8,84517.24,Invoiced
PO00020,SUP003,2025-03-12,2025-05-03,7,44014.77,Open
PO00021,SUP020,2025-02-18,2025-03-18,2,9363.02,Invoiced
PO00022,SUP025,2025-06-03,2025-07-15,8,24652.76,Partial
PO00023,SUP023,2025-05-01,2025-05-20,3,7555.45,Cancelled
PO00024,SUP017,2026-02-22,2026-03-21,5,27374.98,Partial
PO00025,SUP016,2025-11-29,2026-01-04,1,34031.78,Invoiced
PO00026,SUP025,2025-10-15,2025-12-11,6,62829.6,Invoiced
PO00027,SUP024,2025-06-03,2025-07-22,4,26869.24,Partial
PO00028,SUP014,2024-10-17,2024-12-11,12,20073.75,Received
PO00029,SUP015,2025-12-23,2026-01-22,5,7454.41,Open
PO00030,SUP024,2026-04-24,2026-05-21,7,31247.66,Cancelled
PO00031,SUP015,2024-02-22,2024-03-05,11,29591.88,Cancelled
PO00032,SUP006,2025-02-03,2025-03-07,10,48199.4,Open
PO00033,SUP018,2024-02-28,2024-04-27,6,11128.81,Invoiced
PO00034,SUP005,2024-01-28,2024-02-06,9,28024.44,Cancelled
PO00035,SUP008,2026-04-16,2026-04-29,7,61259.78,Partial
PO00036,SUP023,2025-02-22,2025-03-03,7,82925.56,Cancelled
PO00037,SUP021,2024-11-12,2024-12-25,4,73345.79,Received
PO00038,SUP016,2024-12-08,2025-01-05,12,69827.4,Received
PO00039,SUP017,2025-06-17,2025-07-06,12,68272.3,Received
PO00040,SUP021,2024-04-01,2024-04-24,10,21540.24,Received
PO00041,SUP012,2026-05-21,2026-06-15,9,27936.76,Invoiced
PO00042,SUP022,2024-06-17,2024-07-26,11,15190.97,Open
PO00043,SUP013,2025-03-15,2025-04-18,6,18045.68,Cancelled
PO00044,SUP020,2025-04-04,2025-05-25,2,3454.51,Open
PO00045,SUP001,2024-06-04,2024-07-15,2,510.16,Open
PO00046,SUP007,2024-06-20,2024-08-13,7,34231.28,Open
PO00047,SUP015,2025-07-28,2025-08-04,9,61131.18,Cancelled
PO00048,SUP009,2024-11-11,2025-01-01,10,78148.75,Invoiced
PO00049,SUP003,2025-02-04,2025-02-20,8,59209.12,Cancelled
PO00050,SUP012,2024-01-04,2024-01-20,12,51953.21,Partial
PO00051,SUP025,2024-06-14,2024-07-13,1,64549.81,Received
PO00052,SUP005,2026-04-12,2026-05-25,2,31051.24,Received
PO00053,SUP012,2024-07-26,2024-08-31,6,83879.85,Received
PO00054,SUP016,2024-03-15,2024-04-28,8,73533.8,Cancelled
PO00055,SUP004,2025-01-19,2025-02-05,5,12017.14,Received
PO00056,SUP007,2025-06-27,2025-07-05,2,69804.52,Open
PO00057,SUP025,2026-02-08,2026-03-17,11,4254.86,Cancelled
PO00058,SUP015,2026-02-11,2026-03-08,5,33982.55,Invoiced
PO00059,SUP008,2024-10-30,2024-12-11,7,22920.47,Open
PO00060,SUP016,2026-01-31,2026-02-27,1,39012.42,Received
PO00061,SUP004,2024-05-15,2024-06-04,4,10242.39,Partial
PO00062,SUP022,2024-08-19,2024-09-12,10,42637.13,Received
PO00063,SUP004,2026-05-07,2026-06-14,5,6542.38,Open
PO00064,SUP025,2025-10-14,2025-11-04,8,29942.86,Partial
PO00065,SUP004,2025-01-23,2025-02-16,9,62423.85,Cancelled
PO00066,SUP023,2025-01-28,2025-03-09,11,49315.27,Received
PO00067,SUP007,2025-09-16,2025-11-07,8,57450.38,Received
PO00068,SUP021,2024-05-13,2024-06-17,9,33719.13,Received
PO00069,SUP017,2024-10-23,2024-12-13,10,79834.26,Cancelled
PO00070,SUP007,2026-06-27,2026-07-27,6,78364.62,Open
PO00071,SUP003,2024-05-24,2024-06-04,11,51219.71,Invoiced
PO00072,SUP003,2024-09-25,2024-11-14,10,60908.11,Partial
PO00073,SUP005,2024-11-25,2024-12-14,6,49230.44,Received
PO00074,SUP001,2024-03-26,2024-05-21,10,33255.27,Partial
PO00075,SUP019,2026-01-17,2026-02-24,1,28954.22,Invoiced
PO00076,SUP010,2024-09-19,2024-10-19,11,56484.34,Invoiced
PO00077,SUP004,2024-09-23,2024-10-20,3,65615.92,Open
PO00078,SUP001,2024-05-20,2024-05-29,11,64821.1,Invoiced
PO00079,SUP018,2025-11-13,2025-12-20,1,53868.65,Open
PO00080,SUP008,2026-05-07,2026-06-30,11,36795.19,Partial
PO00081,SUP005,2024-03-09,2024-03-25,2,68479.51,Open
PO00082,SUP002,2024-10-20,2024-11-22,9,41494.04,Cancelled
PO00083,SUP012,2024-05-27,2024-06-08,1,76371.94,Invoiced
PO00084,SUP010,2025-07-18,2025-08-21,6,25814.79,Partial
PO00085,SUP022,2024-12-05,2025-01-26,7,80015.17,Invoiced
PO00086,SUP013,2026-04-12,2026-04-28,3,14475.94,Open
PO00087,SUP024,2025-10-20,2025-11-16,5,24431.38,Open
PO00088,SUP015,2024-03-31,2024-04-08,6,81909.19,Cancelled
PO00089,SUP016,2024-08-07,2024-09-21,12,12631.29,Received
PO00090,SUP023,2026-06-07,2026-08-04,11,35270.89,Invoiced
PO00091,SUP002,2025-04-21,2025-04-28,7,21725.18,Invoiced
PO00092,SUP021,2025-05-19,2025-06-04,12,20808.53,Invoiced
PO00093,SUP025,2026-03-07,2026-05-01,12,16378.46,Invoiced
PO00094,SUP021,2025-08-12,2025-09-30,11,75312.53,Open
PO00095,SUP015,2026-06-16,2026-07-16,11,12224.1,Partial
PO00096,SUP015,2025-05-09,2025-05-17,1,26371.25,Received
PO00097,SUP023,2024-01-08,2024-02-27,8,33517.22,Cancelled
PO00098,SUP008,2026-06-17,2026-07-04,6,29471.75,Invoiced
PO00099,SUP006,2025-04-16,2025-06-15,12,26438.97,Invoiced
PO00100,SUP008,2024-06-08,2024-07-29,7,64939.34,Received
PO00101,SUP005,2024-12-11,2024-12-21,7,74186.2,Received
PO00102,SUP010,2025-06-26,2025-07-16,8,20411.03,Received
PO00103,SUP008,2026-05-27,2026-06-03,2,22475.89,Cancelled
PO00104,SUP009,2025-03-10,2025-04-16,6,78868.82,Open
PO00105,SUP008,2025-06-26,2025-07-06,10,83128.64,Partial
PO00106,SUP003,2025-07-08,2025-08-04,12,14480.6,Received
PO00107,SUP019,2025-05-21,2025-06-03,1,69289.1,Open
