month,category,budget,actual,variance
2023-01-01,Raw Materials,71149,72532,1383
2023-01-01,Fasteners,9965,10147,182
2023-01-01,Tooling,7843,7390,-453
2023-01-01,MRO,5412,5351,-61
2023-01-01,Chemicals,3687,3842,155
2023-01-01,Packaging,2973,2789,-184
2023-01-01,Services,6487,6140,-347
2023-02-01,Raw Materials,71209,75061,3852
2023-02-01,Fasteners,10188,10710,522
2023-02-01,Tooling,7885,7792,-93
2023-02-01,MRO,5567,5897,330
2023-02-01,Chemicals,3674,3816,142
2023-02-01,Packaging,2967,2969,2
2023-02-01,Services,6800,7257,457
2023-03-01,Raw Materials,69621,72639,3018
2023-03-01,Fasteners,9807,10387,580
2023-03-01,Tooling,8142,7799,-343
2023-03-01,MRO,5438,5664,226
2023-03-01,Chemicals,3677,3519,-158
2023-03-01,Packaging,2931,3114,183
2023-03-01,Services,6768,7135,367
2023-04-01,Raw Materials,68898,68635,-263
2023-04-01,Fasteners,10113,10040,-73
2023-04-01,Tooling,7880,7461,-419
2023-04-01,MRO,5375,5316,-59
2023-04-01,Chemicals,3657,3555,-102
2023-04-01,Packaging,2954,3080,126
2023-04-01,Services,6473,6163,-310
2023-05-01,Raw Materials,72221,72656,435
2023-05-01,Fasteners,10271,10656,385
2023-05-01,Tooling,8035,7760,-275
2023-05-01,MRO,5370,5053,-317
2023-05-01,Chemicals,3814,3694,-120
2023-05-01,Packaging,2834,2908,74
2023-05-01,Services,6607,6146,-461
2023-06-01,Raw Materials,71428,73206,1778
2023-06-01,Fasteners,9908,9445,-463
2023-06-01,Tooling,7837,7508,-329
2023-06-01,MRO,5264,5137,-127
2023-06-01,Chemicals,3743,3823,80
2023-06-01,Packaging,2984,2998,14
2023-06-01,Services,6787,6900,113
2023-07-01,Raw Materials,69346,72863,3517
2023-07-01,Fasteners,10219,10901,682
2023-07-01,Tooling,7688,7564,-124
2023-07-01,MRO,5512,5683,171
2023-07-01,Chemicals,3778,3767,-11
2023-07-01,Packaging,2908,2966,58
2023-07-01,Services,6585,6249,-336
2023-08-01,Raw Materials,68947,69020,73
2023-08-01,Fasteners,10264,9849,-415
2023-08-01,Tooling,7815,7425,-390
2023-08-01,MRO,5487,5871,384
2023-08-01,Chemicals,3847,3829,-18
2023-08-01,Packaging,2991,2810,-181
2023-08-01,Services,6666,6461,-205
2023-09-01,Raw Materials,71787,70961,-826
2023-09-01,Fasteners,10297,10502,205
2023-09-01,Tooling,7692,7866,174
2023-09-01,MRO,5487,5618,131
2023-09-01,Chemicals,3665,3659,-6
2023-09-01,Packaging,2897,2745,-152
2023-09-01,Services,6849,6833,-16
2023-10-01,Raw Materials,69332,64874,-4458
2023-10-01,Fasteners,9934,9716,-218
2023-10-01,Tooling,7786,8203,417
2023-10-01,MRO,5516,5596,80
2023-10-01,Chemicals,3759,3889,130
2023-10-01,Packaging,2947,3038,91
2023-10-01,Services,6629,6550,-79
2023-11-01,Raw Materials,71028,72856,1828
2023-11-01,Fasteners,10199,10088,-111
2023-11-01,Tooling,7873,7502,-371
2023-11-01,MRO,5502,5235,-267
2023-11-01,Chemicals,3858,4040,182
2023-11-01,Packaging,2924,3073,149
2023-11-01,Services,6741,6401,-340
2023-12-01,Raw Materials,69718,65042,-4676
