inspection_id,date,part_id,qty_inspected,qty_passed,qty_failed,disposition
INSP00001,2023-12-14,PT0012,34,34,0,Pending Review
INSP00002,2026-03-20,PT0010,193,187,6,Pending Review
INSP00003,2024-05-07,PT0004,25,25,0,Use As-Is
INSP00004,2025-12-31,PT0004,359,349,10,Pending Review
INSP00005,2025-07-31,PT0024,227,221,6,Rework
INSP00006,2024-06-04,PT0019,335,333,2,Scrap
INSP00007,2025-11-04,PT0034,198,192,6,Use As-Is
INSP00008,2026-02-15,PT0035,142,137,5,Pending Review
INSP00009,2024-01-17,PT0029,391,376,15,Return to Supplier
INSP00010,2025-06-25,PT0033,421,416,5,Scrap
INSP00011,2025-10-14,PT0038,447,435,12,Rework
INSP00012,2023-10-09,PT0033,60,58,2,Scrap
INSP00013,2025-03-01,PT0031,64,62,2,Return to Supplier
INSP00014,2025-07-14,PT0007,81,81,0,Use As-Is
INSP00015,2023-03-31,PT0012,47,46,1,Return to Supplier
INSP00016,2024-03-24,PT0028,53,52,1,Use As-Is
INSP00017,2025-07-20,PT0017,74,73,1,Pending Review
INSP00018,2023-05-16,PT0033,159,155,4,Scrap
INSP00019,2023-02-06,PT0004,34,33,1,Scrap
INSP00020,2024-04-11,PT0016,50,49,1,Rework
INSP00021,2023-08-29,PT0018,442,432,10,Scrap
INSP00022,2024-06-06,PT0001,60,60,0,Rework
INSP00023,2026-03-14,PT0011,75,74,1,Pending Review
INSP00024,2023-06-09,PT0038,96,94,2,Return to Supplier
INSP00025,2023-10-29,PT0018,167,165,2,Return to Supplier
INSP00026,2025-05-11,PT0019,185,182,3,Pending Review
INSP00027,2024-09-27,PT0028,307,300,7,Scrap
INSP00028,2025-02-03,PT0035,401,388,13,Rework
INSP00029,2025-03-24,PT0022,337,327,10,Use As-Is
INSP00030,2025-09-25,PT0003,496,477,19,Pending Review
INSP00031,2023-08-02,PT0019,283,278,5,Scrap
INSP00032,2026-05-20,PT0012,377,367,10,Scrap
INSP00033,2025-11-12,PT0015,134,129,5,Rework
INSP00034,2025-02-08,PT0023,236,234,2,Return to Supplier
INSP00035,2025-12-31,PT0038,213,208,5,Scrap
INSP00036,2023-10-05,PT0025,226,222,4,Pending Review
INSP00037,2026-04-03,PT0008,217,211,6,Pending Review
INSP00038,2026-03-06,PT0011,393,382,11,Return to Supplier
INSP00039,2025-07-16,PT0002,365,353,12,Return to Supplier
INSP00040,2025-02-10,PT0023,253,244,9,Use As-Is
INSP00041,2026-01-08,PT0028,210,203,7,Return to Supplier
INSP00042,2025-06-24,PT0021,327,315,12,Return to Supplier
INSP00043,2025-10-01,PT0028,266,263,3,Pending Review
INSP00044,2023-02-02,PT0003,482,472,10,Scrap
INSP00045,2025-04-22,PT0034,88,87,1,Rework
INSP00046,2025-08-30,PT0016,448,432,16,Pending Review
INSP00047,2024-05-04,PT0018,259,251,8,Scrap
INSP00048,2023-12-26,PT0028,275,269,6,Return to Supplier
INSP00049,2024-11-22,PT0029,46,46,0,Pending Review
INSP00050,2025-01-23,PT0017,450,442,8,Use As-Is
INSP00051,2023-11-15,PT0006,255,245,10,Rework
INSP00052,2023-10-05,PT0005,147,146,1,Use As-Is
INSP00053,2025-11-18,PT0029,368,359,9,Rework
INSP00054,2025-11-06,PT0034,474,472,2,Rework
INSP00055,2023-11-17,PT0038,356,345,11,Use As-Is
INSP00056,2025-10-20,PT0026,336,326,10,Scrap
INSP00057,2025-11-14,PT0034,295,292,3,Scrap
INSP00058,2025-06-17,PT0039,394,385,9,Scrap
INSP00059,2026-05-16,PT0001,233,231,2,Scrap
