ncr_id,date,line_id,product_id,defect_type,qty_affected,disposition,cost_impact
NCR0001,2024-10-05,L3,P012,Documentation Error,15,Use As-Is,5047.38
NCR0002,2025-07-18,L1,P008,Assembly Error,36,Pending Review,11312.86
NCR0003,2024-07-14,L1,P009,Other,19,Scrap,8081.85
NCR0004,2024-12-12,L1,P007,Dimensional Out-of-Spec,19,Pending Review,2818.66
NCR0005,2026-05-01,L3,P002,Dimensional Out-of-Spec,17,Scrap,1279.89
NCR0006,2025-04-12,L3,P015,Assembly Error,27,Return to Supplier,11036.36
NCR0007,2025-05-26,L3,P006,Documentation Error,19,Use As-Is,7880.93
NCR0008,2024-04-26,L4,P013,Assembly Error,15,Return to Supplier,3771.29
NCR0009,2025-06-06,L3,P006,Contamination,39,Pending Review,11989.67
NCR0010,2023-04-04,L2,P015,Other,15,Rework,2255.51
NCR0011,2024-04-22,L1,P007,Assembly Error,28,Use As-Is,3006.01
NCR0012,2025-11-11,L3,P009,Documentation Error,40,Return to Supplier,12761.31
NCR0013,2023-07-18,L3,P009,Contamination,25,Rework,10708.89
NCR0014,2025-04-07,L2,P001,Documentation Error,22,Use As-Is,5930.34
NCR0015,2024-02-28,L2,P002,Documentation Error,6,Rework,1947.05
NCR0016,2023-06-08,L2,P014,Dimensional Out-of-Spec,23,Return to Supplier,5085.14
NCR0017,2023-01-10,L2,P008,Surface Finish,32,Use As-Is,8178.36
NCR0018,2024-09-20,L4,P008,Surface Finish,37,Rework,14203.09
NCR0019,2024-04-09,L1,P002,Contamination,31,Return to Supplier,11546.35
NCR0020,2026-02-15,L2,P009,Material Defect,11,Pending Review,2007.95
NCR0021,2024-07-13,L2,P012,Other,8,Use As-Is,984.3
NCR0022,2025-10-11,L3,P005,Assembly Error,1,Use As-Is,265.11
NCR0023,2023-02-26,L4,P003,Contamination,13,Return to Supplier,3933.62
NCR0024,2023-08-02,L4,P008,Assembly Error,23,Pending Review,4837.67
NCR0025,2026-03-16,L1,P015,Surface Finish,25,Use As-Is,2043.52
NCR0026,2024-06-21,L2,P009,Dimensional Out-of-Spec,22,Pending Review,1794.47
NCR0027,2024-10-09,L3,P010,Documentation Error,22,Rework,3685.41
NCR0028,2024-08-15,L1,P009,Assembly Error,24,Rework,10667.03
NCR0029,2024-09-29,L3,P007,Other,1,Scrap,55.34
NCR0030,2025-07-13,L1,P015,Dimensional Out-of-Spec,25,Use As-Is,3490.59
NCR0031,2024-09-18,L3,P008,Documentation Error,14,Use As-Is,6715.74
NCR0032,2024-01-03,L1,P007,Contamination,7,Scrap,2783.51
NCR0033,2024-07-19,L4,P005,Dimensional Out-of-Spec,7,Use As-Is,1384.02
NCR0034,2025-08-28,L2,P015,Contamination,13,Use As-Is,3135.63
NCR0035,2023-01-15,L1,P011,Assembly Error,13,Pending Review,1905.07
NCR0036,2023-05-21,L1,P002,Contamination,40,Use As-Is,1104.95
NCR0037,2025-09-13,L1,P002,Material Defect,20,Pending Review,8722.89
NCR0038,2025-01-04,L1,P012,Documentation Error,18,Use As-Is,5220.02
NCR0039,2024-10-31,L2,P004,Assembly Error,35,Pending Review,8619.91
NCR0040,2023-03-16,L4,P007,Documentation Error,12,Scrap,3547.43
NCR0041,2025-11-25,L1,P015,Contamination,35,Pending Review,4971.57
NCR0042,2023-05-21,L4,P003,Other,35,Return to Supplier,5826.62
NCR0043,2023-12-14,L2,P010,Dimensional Out-of-Spec,2,Return to Supplier,799.09
NCR0044,2023-02-05,L3,P006,Dimensional Out-of-Spec,25,Rework,3758.51
NCR0045,2023-02-14,L1,P005,Material Defect,25,Scrap,8264.07
NCR0046,2026-06-03,L1,P009,Assembly Error,33,Rework,2080.91
NCR0047,2024-03-08,L1,P011,Other,2,Return to Supplier,211.39
NCR0048,2024-05-04,L2,P004,Other,30,Return to Supplier,3252.64
NCR0049,2024-03-30,L4,P001,Material Defect,40,Rework,16599.34
NCR0050,2023-10-27,L4,P001,Material Defect,3,Return to Supplier,528.11
NCR0051,2024-04-23,L3,P003,Surface Finish,14,Return to Supplier,2435.35
NCR0052,2025-01-19,L3,P013,Other,38,Use As-Is,4512.27
NCR0053,2024-03-04,L4,P014,Material Defect,13,Scrap,4872.85
NCR0054,2024-02-03,L3,P005,Surface Finish,40,Return to Supplier,11690.78
NCR0055,2023-05-02,L4,P010,Contamination,4,Pending Review,1401.33
NCR0056,2025-07-27,L2,P001,Documentation Error,30,Use As-Is,4234.29
NCR0057,2023-07-03,L3,P014,Assembly Error,16,Use As-Is,1233.23
NCR0058,2023-07-06,L1,P002,Documentation Error,39,Rework,11886.91
NCR0059,2025-06-08,L3,P001,Documentation Error,27,Rework,4489.13
