supplier_id,quarter,delivery_score,quality_score,price_score,overall_score
SUP001,2025-Q1,80.0,75.9,82.4,78.6
SUP001,2025-Q2,92.9,76.6,91.7,85.3
SUP001,2025-Q3,95.0,95.8,94.6,95.3
SUP001,2025-Q4,83.7,90.5,93.8,88.8
SUP001,2026-Q1,71.2,95.5,70.4,82.0
SUP001,2026-Q2,98.7,81.7,68.9,85.1
SUP002,2025-Q1,74.8,86.6,72.1,79.6
SUP002,2025-Q2,90.8,82.4,88.0,86.5
SUP002,2025-Q3,85.3,86.3,73.7,83.4
SUP002,2025-Q4,81.1,94.9,68.5,84.8
SUP002,2026-Q1,94.6,95.3,73.6,90.7
SUP002,2026-Q2,95.0,76.9,89.3,85.7
SUP003,2025-Q1,93.9,96.2,83.4,92.8
SUP003,2025-Q2,72.9,75.3,79.6,75.3
SUP003,2025-Q3,86.5,93.3,77.6,87.8
SUP003,2025-Q4,71.7,82.9,80.9,78.6
SUP003,2026-Q1,91.1,81.9,86.5,86.0
SUP003,2026-Q2,92.6,76.9,93.4,85.7
SUP004,2025-Q1,75.7,83.5,72.2,78.5
SUP004,2025-Q2,98.6,73.4,85.7,84.7
SUP004,2025-Q3,96.1,81.2,76.8,85.5
SUP004,2025-Q4,98.1,77.4,87.3,86.6
SUP004,2026-Q1,92.8,97.7,93.0,95.0
SUP004,2026-Q2,90.2,81.4,90.3,86.3
SUP005,2025-Q1,78.0,74.4,94.1,79.6
SUP005,2025-Q2,82.4,94.0,88.3,88.8
SUP005,2025-Q3,88.4,80.5,91.9,85.5
SUP005,2025-Q4,81.1,83.2,79.0,81.6
SUP005,2026-Q1,92.4,97.2,87.0,93.5
SUP005,2026-Q2,77.4,88.6,93.1,85.6
SUP006,2025-Q1,78.1,91.3,74.2,83.3
SUP006,2025-Q2,70.5,97.2,90.1,86.4
SUP006,2025-Q3,94.3,75.0,87.8,84.3
SUP006,2025-Q4,97.9,79.1,78.4,85.5
SUP006,2026-Q1,77.9,91.8,65.5,81.7
SUP006,2026-Q2,83.8,85.7,70.3,82.0
SUP007,2025-Q1,97.8,76.0,90.4,86.5
SUP007,2025-Q2,97.3,90.5,85.7,91.9
SUP007,2025-Q3,76.5,83.5,88.1,82.0
SUP007,2025-Q4,74.8,91.7,91.1,85.7
SUP007,2026-Q1,76.1,78.4,74.9,76.9
SUP007,2026-Q2,73.4,79.5,79.1,77.3
SUP008,2025-Q1,81.7,84.5,95.0,85.6
SUP008,2025-Q2,99.0,83.8,66.3,85.6
SUP008,2025-Q3,88.9,73.0,91.6,82.3
SUP008,2025-Q4,87.4,95.0,68.7,87.1
SUP008,2026-Q1,96.0,76.4,87.0,85.4
SUP008,2026-Q2,84.5,92.3,83.7,87.8
SUP009,2025-Q1,88.1,77.6,74.0,80.6
SUP009,2025-Q2,89.3,74.3,66.7,78.0
SUP009,2025-Q3,81.4,87.9,85.3,85.1
SUP009,2025-Q4,97.9,96.2,67.6,91.1
SUP009,2026-Q1,79.3,90.9,84.0,85.5
SUP009,2026-Q2,89.6,73.3,65.6,77.5
SUP010,2025-Q1,83.9,85.5,75.2,82.9
SUP010,2025-Q2,79.5,97.6,71.4,86.0
SUP010,2025-Q3,84.8,92.6,87.1,88.8
SUP010,2025-Q4,86.0,97.3,79.7,89.8
SUP010,2026-Q1,89.3,86.5,73.2,84.8
SUP010,2026-Q2,81.3,97.2,74.6,87.1
SUP011,2025-Q1,73.1,77.3,81.3,76.6
SUP011,2025-Q2,77.1,81.9,94.6,82.8
SUP011,2025-Q3,89.6,95.0,81.5,90.4
SUP011,2025-Q4,79.0,88.6,69.8,81.5
SUP011,2026-Q1,81.7,79.6,74.7,79.4
SUP011,2026-Q2,71.3,84.7,89.3,80.9
SUP012,2025-Q1,97.9,84.1,71.9,86.5
SUP012,2025-Q2,95.2,89.8,67.0,87.1
SUP012,2025-Q3,82.2,77.2,66.3,76.8
SUP012,2025-Q4,78.5,91.6,81.9,85.1
SUP012,2026-Q1,72.4,84.8,72.0,77.9
SUP012,2026-Q2,88.2,86.4,91.4,88.0
SUP013,2025-Q1,74.8,89.5,79.0,82.3
SUP013,2025-Q2,82.1,92.9,86.8,87.9
SUP013,2025-Q3,87.6,88.6,65.0,83.5
SUP013,2025-Q4,90.2,80.1,80.2,83.7
SUP013,2026-Q1,87.9,82.5,83.3,84.5
SUP013,2026-Q2,80.4,82.9,90.2,83.5
SUP014,2025-Q1,72.5,91.9,81.7,83.1
SUP014,2025-Q2,86.0,75.5,67.6,77.6
SUP014,2025-Q3,70.5,85.0,80.1,78.9
SUP014,2025-Q4,78.8,81.7,89.3,82.2
SUP014,2026-Q1,70.6,85.3,71.7,77.4
SUP014,2026-Q2,75.7,82.2,68.4,77.2
SUP015,2025-Q1,77.6,95.4,93.3,88.8
SUP015,2025-Q2,84.5,88.0,94.7,88.1
SUP015,2025-Q3,72.7,90.5,68.6,79.9
SUP015,2025-Q4,83.8,89.5,81.4,85.9
SUP015,2026-Q1,76.3,96.3,84.8,87.0
SUP015,2026-Q2,93.2,97.9,93.1,95.3
