order_id,customer_id,product_id,order_date,ship_date,qty,unit_price,revenue
ORD10001,CUS032,P004,2023-01-06,2023-01-30,47,434.47,20420.09
ORD10002,CUS023,P001,2023-01-02,2023-02-11,54,649.99,35099.46
ORD10003,CUS049,P011,2023-01-02,2023-01-18,85,598.38,50862.3
ORD10004,CUS040,P012,2023-01-07,2023-01-25,312,188.58,58836.96
ORD10005,CUS031,P004,2023-01-02,2023-02-14,30,181.65,5449.5
ORD10006,CUS047,P003,2023-01-07,2023-02-08,446,846.95,377739.7
ORD10007,CUS018,P014,2023-01-04,2023-02-05,291,527.37,153464.67
ORD10008,CUS050,P005,2023-01-04,2023-02-14,23,391.24,8998.52
ORD10009,CUS035,P007,2023-01-07,2023-01-29,406,211.03,85678.18
ORD10010,CUS005,P015,2023-01-01,2023-02-14,221,290.12,64116.52
ORD10011,CUS050,P013,2023-01-05,2023-01-23,412,413.75,170465.0
ORD10012,CUS003,P015,2023-01-06,2023-02-11,55,423.74,23305.7
ORD10013,CUS016,P011,2023-01-02,2023-02-07,50,246.09,12304.5
ORD10014,CUS025,P004,2023-01-03,2023-01-19,319,696.5,222183.5
ORD10015,CUS036,P013,2023-01-03,2023-01-17,186,310.71,57792.06
ORD10016,CUS006,P012,2023-01-13,2023-02-02,174,763.54,132855.96
ORD10017,CUS029,P005,2023-01-10,2023-02-18,352,326.74,115012.48
ORD10018,CUS039,P011,2023-01-08,2023-02-16,34,558.46,18987.64
ORD10019,CUS031,P001,2023-01-08,2023-02-09,15,509.96,7649.4
ORD10020,CUS001,P012,2023-01-10,2023-02-13,467,282.2,131787.4
ORD10021,CUS035,P005,2023-01-08,2023-02-06,319,786.57,250915.83
ORD10022,CUS046,P009,2023-01-09,2023-02-03,51,688.52,35114.52
ORD10023,CUS002,P011,2023-01-09,2023-02-16,211,659.38,139129.18
ORD10024,CUS050,P012,2023-01-13,2023-01-29,132,448.84,59246.88
ORD10025,CUS035,P009,2023-01-11,2023-02-11,331,826.98,273730.38
ORD10026,CUS048,P001,2023-01-13,2023-02-24,283,470.9,133264.7
ORD10027,CUS010,P007,2023-01-10,2023-02-03,321,600.7,192824.7
ORD10028,CUS006,P015,2023-01-11,2023-02-12,364,385.8,140431.2
ORD10029,CUS039,P004,2023-01-14,2023-02-10,379,220.3,83493.7
ORD10030,CUS047,P007,2023-01-09,2023-02-04,38,794.35,30185.3
