opportunity_id,customer_id,stage,value,probability_pct,expected_close,weighted_value
OPP0001,CUS038,Proposal,1018200.0,50,2026-07-01,509100.0
OPP0002,CUS016,Closed Won,165900.0,100,2026-07-08,165900.0
OPP0003,CUS046,Negotiation,464300.0,75,2026-09-23,348200.0
OPP0004,CUS006,Closed Lost,80200.0,0,2026-07-05,0.0
OPP0005,CUS005,Closed Won,250800.0,100,2026-07-23,250800.0
OPP0006,CUS017,Prospecting,827400.0,10,2026-10-02,82700.0
OPP0007,CUS009,Closed Won,411100.0,100,2026-10-03,411100.0
OPP0008,CUS028,Closed Lost,836500.0,0,2026-11-15,0.0
OPP0009,CUS042,Closed Lost,307600.0,0,2026-07-10,0.0
OPP0010,CUS037,Closed Won,871600.0,100,2026-07-07,871600.0
OPP0011,CUS043,Qualification,1444900.0,25,2026-09-07,361200.0
OPP0012,CUS042,Proposal,1004800.0,50,2026-09-07,502400.0
OPP0013,CUS047,Qualification,477500.0,25,2026-08-04,119400.0
OPP0014,CUS003,Negotiation,557800.0,75,2026-07-26,418400.0
OPP0015,CUS002,Proposal,1269100.0,50,2026-07-03,634600.0
OPP0016,CUS001,Closed Lost,456100.0,0,2026-08-04,0.0
OPP0017,CUS016,Proposal,565400.0,50,2026-12-15,282700.0
OPP0018,CUS037,Proposal,221400.0,50,2026-12-16,110700.0
OPP0019,CUS049,Qualification,1034800.0,25,2026-08-22,258700.0
OPP0020,CUS015,Closed Won,1441100.0,100,2026-10-25,1441100.0
OPP0021,CUS045,Negotiation,217500.0,75,2026-07-16,163100.0
OPP0022,CUS025,Prospecting,1073400.0,10,2026-11-25,107300.0
OPP0023,CUS036,Closed Won,842600.0,100,2026-12-18,842600.0
OPP0024,CUS030,Negotiation,649700.0,75,2026-12-15,487300.0
OPP0025,CUS024,Prospecting,346200.0,10,2026-10-15,34600.0
OPP0026,CUS043,Prospecting,215000.0,10,2026-08-20,21500.0
OPP0027,CUS035,Prospecting,811200.0,10,2026-11-08,81100.0
OPP0028,CUS040,Negotiation,973800.0,75,2026-08-02,730400.0
OPP0029,CUS018,Closed Won,727900.0,100,2026-07-09,727900.0
OPP0030,CUS024,Prospecting,890700.0,10,2026-09-11,89100.0
