month,product_line,forecast,actual,variance
2025-01-01,Aerospace,242827,254831,12004
2025-02-01,Aerospace,255608,251265,-4343
2025-03-01,Aerospace,281169,284910,3741
2025-04-01,Aerospace,281169,292074,10905
2025-05-01,Aerospace,255608,257217,1609
2025-06-01,Aerospace,255608,262965,7357
2025-07-01,Aerospace,242827,236355,-6472
2025-08-01,Aerospace,255608,245526,-10082
2025-09-01,Aerospace,281169,294673,13504
2025-10-01,Aerospace,281169,283959,2790
2025-11-01,Aerospace,255608,250597,-5011
2025-12-01,Aerospace,255608,246288,-9320
2026-01-01,Aerospace,242827,252912,10085
2026-02-01,Aerospace,255608,246067,-9541
2026-03-01,Aerospace,281169,265465,-15704
2026-04-01,Aerospace,281169,236082,-45087
2026-05-01,Aerospace,255608,210631,-44977
2026-06-01,Aerospace,255608,214110,-41498
2026-07-01,Aerospace,242827,,
2026-08-01,Aerospace,255608,,
2026-09-01,Aerospace,281169,,
2026-10-01,Aerospace,281169,,
2026-11-01,Aerospace,255608,,
2026-12-01,Aerospace,255608,,
2025-01-01,Automotive,200942,193905,-7037
2025-02-01,Automotive,211518,216309,4791
2025-03-01,Automotive,232670,221774,-10896
2025-04-01,Automotive,232670,239585,6915
2025-05-01,Automotive,211518,222276,10758
2025-06-01,Automotive,211518,201353,-10165
2025-07-01,Automotive,200942,203273,2331
2025-08-01,Automotive,211518,211464,-54
2025-09-01,Automotive,232670,228276,-4394
2025-10-01,Automotive,232670,237487,4817
2025-11-01,Automotive,211518,223634,12116
2025-12-01,Automotive,211518,219302,7784
2026-01-01,Automotive,200942,199227,-1715
2026-02-01,Automotive,211518,209028,-2490
2026-03-01,Automotive,232670,228635,-4035
2026-04-01,Automotive,232670,199241,-33429
2026-05-01,Automotive,211518,185410,-26108
2026-06-01,Automotive,211518,177698,-33820
2026-07-01,Automotive,200942,,
2026-08-01,Automotive,211518,,
2026-09-01,Automotive,232670,,
2026-10-01,Automotive,232670,,
2026-11-01,Automotive,211518,,
2026-12-01,Automotive,211518,,
2025-01-01,Industrial,100542,95292,-5250
2025-02-01,Industrial,105834,102498,-3336
2025-03-01,Industrial,116417,121766,5349
2025-04-01,Industrial,116417,122083,5666
2025-05-01,Industrial,105834,101270,-4564
2025-06-01,Industrial,105834,102796,-3038
2025-07-01,Industrial,100542,99574,-968
2025-08-01,Industrial,105834,108400,2566
2025-09-01,Industrial,116417,121213,4796
2025-10-01,Industrial,116417,120424,4007
2025-11-01,Industrial,105834,105404,-430
2025-12-01,Industrial,105834,111683,5849
2026-01-01,Industrial,100542,94987,-5555
2026-02-01,Industrial,105834,108493,2659
2026-03-01,Industrial,116417,121775,5358
2026-04-01,Industrial,116417,101232,-15185
2026-05-01,Industrial,105834,87879,-17955
2026-06-01,Industrial,105834,90805,-15029
2026-07-01,Industrial,100542,,
2026-08-01,Industrial,105834,,
2026-09-01,Industrial,116417,,
2026-10-01,Industrial,116417,,
2026-11-01,Industrial,105834,,
2026-12-01,Industrial,105834,,
2025-01-01,Defense,194234,185841,-8393
2025-02-01,Defense,204457,194157,-10300
2025-03-01,Defense,224903,213113,-11790
2025-04-01,Defense,224903,232796,7893
2025-05-01,Defense,204457,205103,646
2025-06-01,Defense,204457,207452,2995
2025-07-01,Defense,194234,199490,5256
2025-08-01,Defense,204457,210594,6137
2025-09-01,Defense,224903,220944,-3959
2025-10-01,Defense,224903,234638,9735
2025-11-01,Defense,204457,208744,4287
2025-12-01,Defense,204457,210388,5931
2026-01-01,Defense,194234,202429,8195
2026-02-01,Defense,204457,200045,-4412
2026-03-01,Defense,224903,215161,-9742
2026-04-01,Defense,224903,195501,-29402
2026-05-01,Defense,204457,168521,-35936
2026-06-01,Defense,204457,169633,-34824
2026-07-01,Defense,194234,,
2026-08-01,Defense,204457,,
2026-09-01,Defense,224903,,
2026-10-01,Defense,224903,,
2026-11-01,Defense,204457,,
2026-12-01,Defense,204457,,
2025-01-01,Medical,231418,243859,12441
2025-02-01,Medical,243598,241350,-2248
2025-03-01,Medical,267957,276234,8277
2025-04-01,Medical,267957,267894,-63
2025-05-01,Medical,243598,252857,9259
2025-06-01,Medical,243598,231038,-12560
2025-07-01,Medical,231418,226025,-5393
2025-08-01,Medical,243598,253574,9976
2025-09-01,Medical,267957,258498,-9459
2025-10-01,Medical,267957,283730,15773
2025-11-01,Medical,243598,232056,-11542
2025-12-01,Medical,243598,229454,-14144
2026-01-01,Medical,231418,232391,973
2026-02-01,Medical,243598,240755,-2843
2026-03-01,Medical,267957,283198,15241
2026-04-01,Medical,267957,220590,-47367
2026-05-01,Medical,243598,206064,-37534
2026-06-01,Medical,243598,210959,-32639
2026-07-01,Medical,231418,,
2026-08-01,Medical,243598,,
2026-09-01,Medical,267957,,
2026-10-01,Medical,267957,,
2026-11-01,Medical,243598,,
2026-12-01,Medical,243598,,
