LineNum,Account ID,GL,Dept,Account Description,TransDate,Period,Transaction Type,Reference,Amount,Line Description,ID,Name,Job ID,Job Description,Job Type,Vendor ID,Vendor Name,Customer ID,Customer Name,FS Index,FS Index Name,Dir vs Indir,Prod,Org,Fixed v Var,Cost Pools,OH Calc,FS Seq 1,FS Seq 2,FS Level 1,FS Level 2 (Rev/COGS),FS Level 3 (COGS),FS Level 4 (COGS)
39030,21110-0000,21110,0,PO Clearing,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,"14,205.15",Unmatched Receipts (no invoice),,,,,,,,,,21000,Accounts payable,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0
39031,51100-1000,51100,1000,COGS - Materials - NE,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,-290.67,"PO28894-ACME METALS, LLC-FLAT BAR, 1"""" THK X 3.5""",,,LAT611EC,UOP Russell,,,,,,1000-50000,COGS - New equipment,Dir,NE,_0,Var,Dir,No,2100,2110,COGS,Mat,_0,NE
39032,51100-1000,51100,1000,COGS - Materials - NE,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,-290.67,"PO28912-ACME METALS, LLC-FLAT BAR, 1"""" THK X 3.5""",,,LAT612EC,UOP Russell,,,,,,1000-50000,COGS - New equipment,Dir,NE,_0,Var,Dir,No,2100,2110,COGS,Mat,_0,NE
39033,51100-1000,51100,1000,COGS - Materials - NE,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,-349.33,"PO28912-ACME METALS, LLC-FLAT BAR, 1"""" THK X 4.5""",,,LAT612EC,UOP Russell,,,,,,1000-50000,COGS - New equipment,Dir,NE,_0,Var,Dir,No,2100,2110,COGS,Mat,_0,NE
39034,52100-1000,52100,1000,COGS - OSP - NE,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,"-1,200.00","PO27913-Bender CCP, Inc.-NOZZLE COVER FOR PRE GRI",,,LAT605EC,Opero Energy,,,,,,1000-50000,COGS - New equipment,Dir,NE,_0,Var,Dir,No,2100,2110,COGS,Mat,_0,NE
39035,52100-3000,52100,3000,COGS - OSP - RP,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,-330,"PO28713-Bender CCP, Inc.-EXPANDER WHEEL BACK SEAL",,,47701022,LA County Sanitation,,,,,,3000-50000,COGS - Repairs,Dir,RP,_0,Var,Dir,No,2300,2130,COGS,Mat,_0,RP
39036,52100-3000,52100,3000,COGS - OSP - RP,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,"-1,200.00","PO28995-Bender CCP, Inc.-NOZZLE COVER FOR PRE-GRI",,,47701039,Energy Transfer,,,,,,3000-50000,COGS - Repairs,Dir,RP,_0,Var,Dir,No,2300,2130,COGS,Mat,_0,RP
39037,52100-3000,52100,3000,COGS - OSP - RP,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,"-1,200.00","PO28995-Bender CCP, Inc.-NOZZLE CLAMPING RING FOR",,,47701039,Energy Transfer,,,,,,3000-50000,COGS - Repairs,Dir,RP,_0,Var,Dir,No,2300,2130,COGS,Mat,_0,RP
39038,51100-1000,51100,1000,COGS - Materials - NE,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,"-1,471.00","PO27464-BERMINGHAM CONTROLS, INC.-SAFETY RELIEF V",,,LAT602EC,Joule,,,,,,1000-50000,COGS - New equipment,Dir,NE,_0,Var,Dir,No,2100,2110,COGS,Mat,_0,NE
39039,51100-3000,51100,3000,COGS - Materials - RP,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,-695,"PO27088-Bolt Tech Mannings, Inc.-RENTAL, PUMP 30,",,,47700933,CalEnergy,,,,,,3000-50000,COGS - Repairs,Dir,RP,_0,Var,Dir,No,2300,2130,COGS,Mat,_0,RP
39040,51100-3000,51100,3000,COGS - Materials - RP,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,-145,"PO27088-Bolt Tech Mannings, Inc.-RENTAL, HYDRAULI",,,47700933,CalEnergy,,,,,,3000-50000,COGS - Repairs,Dir,RP,_0,Var,Dir,No,2300,2130,COGS,Mat,_0,RP
39041,51100-3000,51100,3000,COGS - Materials - RP,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,-75,"PO27088-Bolt Tech Mannings, Inc.-RENTAL, 15FT HOS",,,47700933,CalEnergy,,,,,,3000-50000,COGS - Repairs,Dir,RP,_0,Var,Dir,No,2300,2130,COGS,Mat,_0,RP
39042,51100-3000,51100,3000,COGS - Materials - RP,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,-695,"PO27550-Bolt Tech Mannings, Inc.-RENTAL, PUMP 30,",,,47700933,CalEnergy,,,,,,3000-50000,COGS - Repairs,Dir,RP,_0,Var,Dir,No,2300,2130,COGS,Mat,_0,RP
39043,51100-3000,51100,3000,COGS - Materials - RP,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,-145,"PO27550-Bolt Tech Mannings, Inc.-RENTAL, HYDRAULI",,,47700933,CalEnergy,,,,,,3000-50000,COGS - Repairs,Dir,RP,_0,Var,Dir,No,2300,2130,COGS,Mat,_0,RP
39044,51100-3000,51100,3000,COGS - Materials - RP,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,-75,"PO27550-Bolt Tech Mannings, Inc.-RENTAL, 15FT HOS",,,47700933,CalEnergy,,,,,,3000-50000,COGS - Repairs,Dir,RP,_0,Var,Dir,No,2300,2130,COGS,Mat,_0,RP
39045,51100-1000,51100,1000,COGS - Materials - NE,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,-46.8,"PO28811-Duhig and Co., Inc.-R-16S (FOR 1"""" 900/15",,,LAT607EC,Optimized Process Designs,,,,,,1000-50000,COGS - New equipment,Dir,NE,_0,Var,Dir,No,2100,2110,COGS,Mat,_0,NE
39046,51100-1000,51100,1000,COGS - Materials - NE,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,-900,PO28902-FRISA FORJADOS S.A. DE C.V.-Compressor Fo,,,LAT609EC,UOP Russell,,,,,,1000-50000,COGS - New equipment,Dir,NE,_0,Var,Dir,No,2100,2110,COGS,Mat,_0,NE
39047,51100-1000,51100,1000,COGS - Materials - NE,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,-355,PO28902-FRISA FORJADOS S.A. DE C.V.-Compressor Fo,,,LAT609EC,UOP Russell,,,,,,1000-50000,COGS - New equipment,Dir,NE,_0,Var,Dir,No,2100,2110,COGS,Mat,_0,NE
39048,52100-1000,52100,1000,COGS - OSP - NE,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,-325,PO26668-General Grinding-SHAFT FOR REWORK PER DWG,,,LAT597EC,BCCK,,,,,,1000-50000,COGS - New equipment,Dir,NE,_0,Var,Dir,No,2100,2110,COGS,Mat,_0,NE
