Host,Port,Description,Display Name,Group,Security Group
50.87.253.233,21,,50.87.253.233,HOPI,
52.53.137.219,21,,AWS Branch Office - AMI,HOPI,
44.204.69.18,22,,AWS-Redash,HOPI,
64.52.84.91,21,,CustomerTemplate,HOPI,
44.204.69.18,21,,HOPI-AMT (Amazon),HOPI,
64.52.108.62,21,,HOPI-AMT WINSCP,HOPI,
217.196.50.210,21,,HOPI-AMT-Hostinger - Copy,HOPI,
64.45.181.40,21,,HOPI-Demo WINSCP,HOPI,
64.52.108.83,21,,HOPI-Dev WINSCP,HOPI,
64.52.84.89,21,,HOPI-Dev WINSCP - jyu,HOPI,
204.44.81.229,21,,HOPI-Docker WINSCP,HOPI,
64.52.108.193,21,,HOPI-NGINX2 WINSCP ,HOPI,
178.16.141.69,21,,HOPI-NGINX-Hostinger,HOPI,
204.44.81.245,21,,HOPI-RedashDebian,HOPI,
64.52.85.136,21,,HOPI-Ruby WINSCP,HOPI,
64.52.109.77,21,,HOPI-Services WINSCP,HOPI,
64.52.109.40,21,,HOPIVPN01,HOPI,
64.52.85.192,21,,HOPI-VPN WINSCP,HOPI,
192.168.225.9,21,,Nginx2 -Local Lapatop,HOPI,
64.52.109.140,21,,Nginx Web Server,HOPI,
204.44.81.249,21,,ONLYOFFICE,HOPI,
204.44.81.60,21,,RPA01,HOPI,
ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAAAgQC34dbdnbvDmGVb+Rnn5E6fo9n71VXh8IO70Qd71PPKlztwmLysOjY73X4+EvugOdA2+GbDBdO3gyKYwPV6i5Oinq41R1+WsgOi5ntiVdVdqQW9Xnr/3XFJoJ2qC/9yRkDnQmHaAcJUgZCKMD1oec2-13-57-214-153.us-west-1.compute.amazonaws.com,,,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAAAgQC34dbdnbec2-13-57-214-153.us-west-1.compute.amazonaws.com,HOPI,
64.52.85.192,,,test,HOPI,
