Date,Customer ID,Name,Job ID,Job Description,Account ID,Account Description,Invoice/CM No,Line Description,Purchase Order No,Amount,,,
1/2/19,Samsung,"Samsung Engineering Co.,Ltd.",,,11100-0000,AR - Trade,IN4330,"Samsung Engineering Co.,Ltd.",5000036974,"61,308.50",,,
1/4/19,LAT Europe Belgium,LAT Europe,,,11100-0000,AR - Trade,IN4345,LAT Europe,FNRLATE1755,"17,529.35",,,
1/4/19,LAT Europe Belgium,LAT Europe,,,11100-0000,AR - Trade,IN4346,LAT Europe,FNRLATE1755,"5,993.10",,,
1/11/19,Energy Transfer,Energy Transfer,,,11100-0000,AR - Trade,IN4347,Energy Transfer,694410,"2,933.10",,,
1/15/19,Targa Resources Part,Targa Resources Partners LP,,,11100-0000,AR - Trade,IN4349,Targa Resources Partners LP,TAR59328,"214,000.00",,,
1/15/19,Energy Transfer,Energy Transfer,,,11100-0000,AR - Trade,IN4350,Energy Transfer,AFE#694000200025,"2,286.42",,,
1/16/19,Flint Hills,"Flint Hills Resources Houston Chem.,LLC",,,11100-0000,AR - Trade,IN4351,"Flint Hills Resources Houston Chem.,LLC",HCP22183,"30,350.30",,,
1/21/19,LAT Europe Belgium,LAT Europe,,,11100-0000,AR - Trade,IN4352,LAT Europe,FNRLATE1925,"3,809.35",,,
1/22/19,Linde Processing,Linde Engineering North America Inc.,,,11100-0000,AR - Trade,IN4348,Linde Engineering North America Inc.,004 2KA2970,"193,800.00",,,
1/23/19,Linde Processing,Linde Engineering North America Inc.,,,11100-0000,AR - Trade,IN4353,Linde Engineering North America Inc.,004 2KA3240 Sup.001,"50,000.00",,,
1/24/19,Targa Resources Part,Targa Resources Partners LP,,,11100-0000,AR - Trade,IN4354,Targa Resources Partners LP,TAR59329,"321,000.00",,,
1/28/19,BCCK,"BCCK Engineering, Inc.",,,11100-0000,AR - Trade,IN4356,"BCCK Engineering, Inc.",18006-004.45,"141,200.00",,,
1/28/19,UOP,UOP RUSSELL LLC,,,11100-0000,AR - Trade,IN4357,UOP RUSSELL LLC,4500876583,"403,200.00",,,
1/29/19,LAT Europe Belgium,LAT Europe,,,11100-0000,AR - Trade,IN4358,LAT Europe,FNRLATE1950,"1,434.07",,,
1/29/19,Aka Energy,Aka Energy Group LLC,,,11100-0000,AR - Trade,IN4359,Aka Energy Group LLC,19C1901301,"61,857.50",,,
1/29/19,Enerfin,Enerfin Resources,,,11100-0000,AR - Trade,IN4360,Enerfin Resources,EW190128-1,"49,747.50",,,
1/29/19,Targa Resources Part,Targa Resources Partners LP,,,11100-0000,AR - Trade,IN4355,Targa Resources Partners LP,TAR59328,"321,000.00",,,
1/31/19,Anadarko,Anadarko Petroleum,,,11100-0000,AR - Trade,IN4362,Anadarko Petroleum,89709778,"12,565.00",,,
1/31/19,LAT Europe Belgium,LAT Europe,,,11100-0000,AR - Trade,IN4363,LAT Europe,FNRLATE1934,"21,410.93",,,
1/31/19,Superior,"Superior Pipeline Texas, LLC",,,11100-0000,AR - Trade,IN4361,"Superior Pipeline Texas, LLC",38-51,247.42,,,
1/31/19,Targa Pipeline,Targa Pipeline Mid-Continent WestTexLLC,87700498,,11300-0000,Other Receivables,01-07I -  Targa Trai,Classroom Turboexpander-compressor training,,"3,750.00",,,
1/31/19,Samsung,"Samsung Engineering Co.,Ltd.",87700438,,23100-0000,Billings in Excess of Cost,01-07G SKF/FS Sales,Advance down payment for LAT & SKF Field service,,"131,065.04",,,
1/29/19,LAT Europe Belgium,LAT Europe,,,14200-0000,Prepaid Expenses,IN4358,Duty charges for Petrobel Frame 40 spare parts,FNRLATE1950,"-1,434.07",,,
1/15/19,Targa Resources Part,Targa Resources Partners LP,LAT621ECM,621,41100-1000,Sales - Invoiced - NE,IN4349,20% of total order value upon receipt of the accepted PO.,TAR59328,"-214,000.00",,,
1/22/19,Linde Processing,Linde Engineering North America Inc.,LAT606EC,606,41100-1000,Sales - Invoiced - NE,IN4348,"20% Upon final inspection and release of shipment of total $969,000",004 2KA2970,"-193,800.00",,,
1/23/19,Linde Processing,Linde Engineering North America Inc.,LAT613EC,613,41100-1000,Sales - Invoiced - NE,IN4353,25% invoiced upon proof of receipt of all long lead items.,004 2KA3240 Sup.001,"-50,000.00",,,
1/24/19,Targa Resources Part,Targa Resources Partners LP,LAT621ECM,621,41100-1000,Sales - Invoiced - NE,IN4354,30% of total order value upon ordering of major materials.,TAR59329,"-321,000.00",,,
1/28/19,BCCK,"BCCK Engineering, Inc.",LAT597EC,597,41100-1000,Sales - Invoiced - NE,IN4356,40% invoiced upon notification of readiness to ship and submittal of final documentation #45-506 Turbo Expander - Center Section,18006-004.45,"-141,200.00",,,
1/28/19,UOP,UOP RUSSELL LLC,LAT618EC,618,41100-1000,Sales - Invoiced - NE,IN4357,"40% of total PO value USD $1,008,000.00",4500876583,"-403,200.00",,,
1/29/19,Targa Resources Part,Targa Resources Partners LP,LAT620ECM,620,41100-1000,Sales - Invoiced - NE,IN4355,30% of total order value upon ordering of major materials.,TAR59328,"-321,000.00",,,
1/16/19,Flint Hills,"Flint Hills Resources Houston Chem.,LLC",57701052,RD,41100-2000,Sales - Invoiced - RD,IN4351,Line item 1 - Fab and supply 609J Spare parts.,HCP22183,"-29,030.00",,,
1/29/19,Aka Energy,Aka Energy Group LLC,57701064,5-1064,41100-2000,Sales - Invoiced - RD,IN4359,50% upon order acceptance,19C1901301,"-61,857.50",,,
1/29/19,Enerfin,Enerfin Resources,47701062,4-1062,41100-3000,Sales - Invoiced - RP,IN4360,50% Upon order acceptance - Line item 1 / 2 / 3,EW190128-1,"-49,747.50",,,
1/4/19,LAT Europe Belgium,LAT Europe,87700475-1,FS,41100-4000,Sales - Invoiced - FS,IN4345,Trip 1 - Mobilization of Emmanuel Ledru for onsite rebuild with S2M and start up. From 9/9 thru 9/21/2018. (See summary),FNRLATE1755,"-17,529.35",,,
1/4/19,LAT Europe Belgium,LAT Europe,87700475-2,FS,41100-4000,Sales - Invoiced - FS,IN4346,Trip 2 - Mobilization of Emmanuel Ledru for onsite rebuild with S2M and start up. From 12/17 thru 12/20/2018. (See summary),FNRLATE1755,"-5,993.10",,,
1/21/19,LAT Europe Belgium,LAT Europe,87700500,FS,41100-4000,Sales - Invoiced - FS,IN4352,Mobilization of Emmanuel Ledru for onsite MCS swap on ACR142 Air Liquide Germany. From 1/9 thru 1/12/2019.,FNRLATE1925,"-3,809.35",,,
1/31/19,LAT Europe Belgium,LAT Europe,87700501,FS,41100-4000,Sales - Invoiced - FS,IN4363,Mobilization of Emmanuel Ledru for onsite MCS inspection on ACR044 TOTAL Congo.,FNRLATE1934,"-21,410.93",,,
1/2/19,Samsung,"Samsung Engineering Co.,Ltd.",37700956,3-956,41100-5000,Sales - Invoiced - SP,IN4330,50% of Total Contract Amount of Purchase Order,5000036974,"-61,308.50",,,
1/11/19,Energy Transfer,Energy Transfer,37701045,SP,41100-5000,Sales - Invoiced - SP,IN4347,Pushbutton Black no sealed contact - P/N 800H-AR2-D1P,694410,-190.00,,,
1/11/19,Energy Transfer,Energy Transfer,37701045,SP,41100-5000,Sales - Invoiced - SP,IN4347,Pushbutton red NC sealed contact - P/N 800H-AR6-D2P,694410,-190.00,,,
1/11/19,Energy Transfer,Energy Transfer,37701045,SP,41100-5000,Sales - Invoiced - SP,IN4347,Immersion heater element - P/N CXFT6033F418X-001,694410,"-2,520.00",,,
1/15/19,Energy Transfer,Energy Transfer,37701054,SP,41100-5000,Sales - Invoiced - SP,IN4350,Line item 4 - Actuator Adjustment nut - P/N 7770000101,AFE#694000200025,"-2,235.00",,,
1/15/19,Energy Transfer,Energy Transfer,37701054,SP,41100-5000,Sales - Invoiced - SP,IN4350,Line item 5 - Sel-Lock Pin,AFE#694000200025,-35.00,,,
1/31/19,Anadarko,Anadarko Petroleum,37701063,SP,41100-5000,Sales - Invoiced - SP,IN4362,50% Upon order acceptance - Line item 1 & 4,89709778,"-12,565.00",,,
1/31/19,Superior,"Superior Pipeline Texas, LLC",37701047,SP,41100-5000,Sales - Invoiced - SP,IN4361,Temperature Sensor (RTD Single Element) _,38-51,-232.00,,,
1/16/19,Flint Hills,"Flint Hills Resources Houston Chem.,LLC",57701052,FR,49100-2000,Freight Receipts - RD,IN4351,Freight charge,HCP22183,"-1,320.30",,,
1/11/19,Energy Transfer,Energy Transfer,37701045,FR,49100-5000,Freight Receipts - SP,IN4347,Freight charge,694410,-33.10,,,
1/15/19,Energy Transfer,Energy Transfer,37701054,FR,49100-5000,Freight Receipts - SP,IN4350,Freight charge,AFE#694000200025,-16.42,,,
1/31/19,Superior,"Superior Pipeline Texas, LLC",37701047,FR,49100-5000,Freight Receipts - SP,IN4361,Freight chage,38-51,-15.42,,,
1/31/19,Samsung,"Samsung Engineering Co.,Ltd.",87700438,FS,41100-4000,Sales - Invoiced - FS,01-07G SKF/FS Sales,Est Sales for Badra Trip #8 (01/14/19-01/31/19),,"-131,065.04",,,
1/31/19,Targa Pipeline,Targa Pipeline Mid-Continent WestTexLLC,87700498,OT,49800-4000,Other Operating Income - FS,01-07I -  Targa Trai,Classroom Turboexpander-compressor training,,"-3,750.00",<==rvs in Feb,,
2/5/19,Oneok Rockies-Tulsa,ONEOK ROCKIES MIDSTREAM LLC,,,11100-0000,AR - Trade,IN4365,ONEOK ROCKIES MIDSTREAM LLC,117315,"77,797.50",,,
2/5/19,Targa Pipeline,Targa Pipeline Mid-Continent WestTexLLC,,,11100-0000,AR - Trade,IN4366,Targa Pipeline Mid-Continent WestTexLLC,TAR60987,"3,750.00",,,
2/6/19,MEP,MEP OU,,,11100-0000,AR - Trade,IN4372,MEP OU,P91222-1599-19,"33,355.00",,,
2/6/19,Moore,Moore Control Systems. Inc.,,,11100-0000,AR - Trade,IN4373,Moore Control Systems. Inc.,182395391R,"57,025.00",,,
2/7/19,LAT Europe Belgium,LAT Europe,,,11100-0000,AR - Trade,IN4364,LAT Europe,FNRLATE1806,"5,489.12",,,
2/8/19,County Sanitation,County Sanitation Districts of L.A.,,,11100-0000,AR - Trade,IN4367,County Sanitation Districts of L.A.,1648380,"89,740.20",,,
2/12/19,GPI,"GPI International, Inc.",,,11100-0000,AR - Trade,IN4368,"GPI International, Inc.",071100-3770,"105,000.00",,,
2/15/19,Tesoro,Tesoro Logistics Operations LLC,,,11100-0000,AR - Trade,IN4374,Tesoro Logistics Operations LLC,450057672,"8,289.04",,,
2/21/19,Linde Processing,Linde Engineering North America Inc.,,,11100-0000,AR - Trade,IN4371,Linde Engineering North America Inc.,004 2KA2970,"48,450.00",,,
2/25/19,Badger,Badger Midstream,,,11100-0000,AR - Trade,IN4376,Badger Midstream,OK2019-012,"8,659.74",,,
2/26/19,Eagleclaw,"Eagleclaw Midstream, LLC",,,11100-0000,AR - Trade,IN4377,"Eagleclaw Midstream, LLC",AFE 180234,"11,586.30",,,
2/26/19,LAT Europe Belgium,LAT Europe,,,11100-0000,AR - Trade,IN4378,LAT Europe,FNRLATE1968,"30,557.74",,,
2/26/19,UOP,UOP RUSSELL LLC,,,11100-0000,AR - Trade,IN4369,UOP RUSSELL LLC,4500864333,"300,343.75",,,
2/27/19,Cureton,Cureton Midstream,,,11100-0000,AR - Trade,IN4379,Cureton Midstream,CM-WO-0250,"23,710.92",,,
2/27/19,OGDCL,Oil & Gas Development Company Limited,,,11100-0000,AR - Trade,IN4380,Oil & Gas Development Company Limited,3009/768999/2018,"70,113.00",,,
2/28/19,Linde Processing,Linde Engineering North America Inc.,,,11100-0000,AR - Trade,IN4370,Linde Engineering North America Inc.,004 2KA3070,"152,600.00",,,
2/28/19,Summit,Summit Midstream,,,11100-0000,AR - Trade,IN4383,Summit Midstream,PERM-000523,"31,968.14",,,
2/28/19,Targa Pipeline,Targa Pipeline Mid-Continent WestTexLLC,,,11100-0000,AR - Trade,IN4384,Targa Pipeline Mid-Continent WestTexLLC,TAR73744,"33,376.00",,,
2/28/19,Targa Pipeline,Targa Pipeline Mid-Continent WestTexLLC,,,11100-0000,AR - Trade,IN4385,Targa Pipeline Mid-Continent WestTexLLC,TAR73967,"33,588.50",,,
2/28/19,Targa Pipeline,Targa Pipeline Mid-Continent WestTexLLC,,,11100-0000,AR - Trade,IN4386,Targa Pipeline Mid-Continent WestTexLLC,TAR72778,"12,267.00",,,
2/28/19,Caprock,Caprock Permian Processing LLC,,,11100-0000,AR - Trade,IN4382,Caprock Permian Processing LLC,180347-02,"25,167.50",,,
2/28/19,Samsung,"Samsung Engineering Co.,Ltd.",87700438,,11300-0000,Other Receivables,02-07G SKF/FS Sales,Est Sales for Badra Trip #8 (01/14/19-02/21/19),,"126,938.99",,,
1/31/19,Targa Pipeline,Targa Pipeline Mid-Continent WestTexLLC,87700498,,11300-0000,Other Receivables,01-07I -  Targa Trai,Classroom Turboexpander-compressor training,,"-3,750.00",,,
2/28/19,Samsung,"Samsung Engineering Co.,Ltd.",87700438,,23100-0000,Billings in Excess of Cost,02-07G SKF/FS Sales,Advance down payment for LAT & SKF Field service,,"200,000.00",,,
1/31/19,Samsung,"Samsung Engineering Co.,Ltd.",87700438,,23100-0000,Billings in Excess of Cost,01-07G SKF/FS Sales,Advance down payment for LAT & SKF Field service,,"-131,065.04",,,
2/8/19,County Sanitation,County Sanitation Districts of L.A.,,,24100-0000,Sales Taxes Payable - CA,IN4367,CA St Ta: CA State Tax,1648380,"-2,839.10",,,
2/8/19,County Sanitation,County Sanitation Districts of L.A.,,,24100-0000,Sales Taxes Payable - CA,IN4367,LA Conty: LA County,1648380,-881.10,,,
2/21/19,Linde Processing,Linde Engineering North America Inc.,LAT606EC,606,41100-1000,Sales - Invoiced - NE,IN4371,"5% Upon receipt of final documentation of total $969,000",004 2KA2970,"-48,450.00",,,
2/26/19,UOP,UOP RUSSELL LLC,LAT611EC,611,41100-1000,Sales - Invoiced - NE,IN4369,"35% of total PO value USD $858,125.00",4500864333,"-300,343.75",,,
2/28/19,Linde Processing,Linde Engineering North America Inc.,LAT608EC,608,41100-1000,Sales - Invoiced - NE,IN4370,"20% upon final inspection and release of shipment of total $763,000.00",004 2KA3070,"-152,600.00",,,
2/5/19,Oneok Rockies-Tulsa,ONEOK ROCKIES MIDSTREAM LLC,47701065,4-1065,41100-3000,Sales - Invoiced - RP,IN4365,50% Upon order acceptance - Line item 1 & 2 (LAT504) - Job 47701065,117315,"-43,395.00",,,
2/5/19,Oneok Rockies-Tulsa,ONEOK ROCKIES MIDSTREAM LLC,47701066,4-1066,41100-3000,Sales - Invoiced - RP,IN4365,50% Upon order acceptance - Line item 3 & 4 (LAT509) - Job 47701066,117315,"-34,402.50",,,
2/6/19,MEP,MEP OU,47701068,4-1068,41100-3000,Sales - Invoiced - RP,IN4372,50% Upon receipt of PO - Line item 1,P91222-1599-19,"-33,355.00",,,
2/6/19,Moore,Moore Control Systems. Inc.,47701013,RP,41100-3000,Sales - Invoiced - RP,IN4373,50% Upon order acceptance - Line item 1. LAT job 47701013,182395391R,"-5,500.00",,,
2/6/19,Moore,Moore Control Systems. Inc.,47701067,4-1067,41100-3000,Sales - Invoiced - RP,IN4373,50% Upon order acceptance - Line item 2 LAT job 47701067,182395391R,"-51,525.00",,,
2/8/19,County Sanitation,County Sanitation Districts of L.A.,47701022,4-1022,41100-3000,Sales - Invoiced - RP,IN4367,Line item 1 - Labor - Upon notification of readiness to ship,1648380,"-46,860.00",,,
2/8/19,County Sanitation,County Sanitation Districts of L.A.,47701022,4-1022,41100-3000,Sales - Invoiced - RP,IN4367,Line item 2 - Materials - Upon notification of readiness to ship,1648380,"-39,160.00",,,
2/28/19,Caprock,Caprock Permian Processing LLC,47701076,4-1076,41100-3000,Sales - Invoiced - RP,IN4382,50% upon PO acceptance - line item 1 - Repair of MCS,180347-02,"-23,292.50",,,
2/28/19,Caprock,Caprock Permian Processing LLC,47701076,4-1076,41100-3000,Sales - Invoiced - RP,IN4382,50% upon PO acceptance - line item 2 - MCS install kit,180347-02,"-1,875.00",,,
