OrderID	CustomerID	ProductID	Quantity	Price	OrderDate
1	CUST0001	PROD0001	3	16.0	2023-06-29
2	CUST0002	PROD0002	4	10.5	2023-07-04
3	CUST0003	PROD0003	1	25.0	2023-07-09
4	CUST0004	PROD0004	2	5.75	2023-07-14
5	CUST0005	PROD0005	5	7.25	2023-07-19
6	CUST0006	PROD0006	1	15.0	2023-07-24
7	CUST0007	PROD0007	3	9.99	2023-07-29
8	CUST0008	PROD0008	4	20.0	2023-08-03
9	CUST0009	PROD0009	2	8.5	2023-08-08
10	CUST0010	PROD0010	1	12.75	2023-08-13
11	CUST0011	PROD0011	3	17.5	2023-08-18
12	CUST0012	PROD0012	5	22.0	2023-08-23
13	CUST0013	PROD0013	4	6.25	2023-08-28
14	CUST0014	PROD0014	2	13.0	2023-09-02
15	CUST0015	PROD0015	1	18.99	2023-09-07
16	CUST0016	PROD0016	3	11.5	2023-09-12
17	CUST0017	PROD0017	2	24.75	2023-09-17
18	CUST0018	PROD0018	5	7.99	2023-09-22
19	CUST0019	PROD0019	4	21.0	2023-09-27
20	CUST0020	PROD0020	3	14.5	2023-10-02
21	CUST0021	PROD0021	1	19.75	2023-10-07
22	CUST0022	PROD0022	5	9.5	2023-10-12
23	CUST0023	PROD0023	2	23.0	2023-10-17
24	CUST0024	PROD0024	4	8.25	2023-10-22
25	CUST0025	PROD0025	3	16.5	2023-10-27
26	CUST0026	PROD0026	1	12.99	2023-11-01
27	CUST0027	PROD0027	2	6.75	2023-11-06
28	CUST0028	PROD0028	4	15.0	2023-11-11
29	CUST0029	PROD0029	3	10.25	2023-11-16
30	CUST0030	PROD0030	5	7.5	2023-11-21
31	CUST0031	PROD0031	1	20.0	2023-11-26
32	CUST0032	PROD0032	4	22.5	2023-12-01
33	CUST0033	PROD0033	2	11.0	2023-12-06
34	CUST0034	PROD0034	5	14.99	2023-12-11
35	CUST0035	PROD0035	3	7.75	2023-12-16
36	CUST0036	PROD0036	1	13.5	2023-12-21
37	CUST0037	PROD0037	2	18.0	2023-12-26
38	CUST0038	PROD0038	4	9.99	2023-12-31
39	CUST0039	PROD0039	5	20.5	2024-01-05
40	CUST0040	PROD0040	3	6.0	2024-01-10
41	CUST0041	PROD0041	2	12.5	2024-01-15
42	CUST0042	PROD0042	1	16.99	2024-01-20
43	CUST0043	PROD0043	4	7.25	2024-01-25
44	CUST0044	PROD0044	5	15.75	2024-01-30
45	CUST0045	PROD0045	3	10.99	2024-02-04
46	CUST0046	PROD0046	2	22.0	2024-02-09
47	CUST0047	PROD0047	1	13.0	2024-02-14
48	CUST0048	PROD0048	4	19.99	2024-02-19
49	CUST0049	PROD0049	5	6.5	2024-02-24
50	CUST0050	PROD0050	3	21.0	2024-02-29
