OrderID,CustomerID,ProductID,Quantity,Price,OrderDate,Region,Cost,SalesOrder
1,CUST0001,PROD0001,3,16.0,2023-06-29,Region1,12.8,SO1000
2,CUST0002,PROD0002,4,10.5,2023-07-04,Region2,8.4,SO1001
3,CUST0003,PROD0003,1,25.0,2023-07-09,Region3,20.0,SO1002
4,CUST0004,PROD0004,2,5.75,2023-07-14,Region4,4.6000000000000005,SO1003
5,CUST0005,PROD0005,5,7.25,2023-07-19,Region5,5.800000000000001,SO1004
6,CUST0006,PROD0006,1,15.0,2023-07-24,Region1,12.0,SO1005
7,CUST0007,PROD0007,3,9.99,2023-07-29,Region2,7.992000000000001,SO1006
8,CUST0008,PROD0008,4,20.0,2023-08-03,Region3,16.0,SO1007
9,CUST0009,PROD0009,2,8.5,2023-08-08,Region4,6.800000000000001,SO1008
10,CUST0010,PROD0010,1,12.75,2023-08-13,Region5,10.200000000000001,SO1009
11,CUST0011,PROD0011,3,17.5,2023-08-18,Region1,14.0,SO1010
12,CUST0012,PROD0012,5,22.0,2023-08-23,Region2,17.6,SO1011
13,CUST0013,PROD0013,4,6.25,2023-08-28,Region3,5.0,SO1012
14,CUST0014,PROD0014,2,13.0,2023-09-02,Region4,10.4,SO1013
15,CUST0015,PROD0015,1,18.99,2023-09-07,Region5,15.192,SO1014
16,CUST0016,PROD0016,3,11.5,2023-09-12,Region1,9.200000000000001,SO1015
17,CUST0017,PROD0017,2,24.75,2023-09-17,Region2,19.8,SO1016
18,CUST0018,PROD0018,5,7.99,2023-09-22,Region3,6.392,SO1017
19,CUST0019,PROD0019,4,21.0,2023-09-27,Region4,16.8,SO1018
20,CUST0020,PROD0020,3,14.5,2023-10-02,Region5,11.600000000000001,SO1019
21,CUST0021,PROD0021,1,19.75,2023-10-07,Region1,15.8,SO1020
22,CUST0022,PROD0022,5,9.5,2023-10-12,Region2,7.6000000000000005,SO1021
23,CUST0023,PROD0023,2,23.0,2023-10-17,Region3,18.400000000000002,SO1022
24,CUST0024,PROD0024,4,8.25,2023-10-22,Region4,6.6000000000000005,SO1023
25,CUST0025,PROD0025,3,16.5,2023-10-27,Region5,13.200000000000001,SO1024
26,CUST0026,PROD0026,1,12.99,2023-11-01,Region1,10.392000000000001,SO1025
27,CUST0027,PROD0027,2,6.75,2023-11-06,Region2,5.4,SO1026
28,CUST0028,PROD0028,4,15.0,2023-11-11,Region3,12.0,SO1027
29,CUST0029,PROD0029,3,10.25,2023-11-16,Region4,8.200000000000001,SO1028
30,CUST0030,PROD0030,5,7.5,2023-11-21,Region5,6.0,SO1029
31,CUST0031,PROD0031,1,20.0,2023-11-26,Region1,16.0,SO1030
32,CUST0032,PROD0032,4,22.5,2023-12-01,Region2,18.0,SO1031
33,CUST0033,PROD0033,2,11.0,2023-12-06,Region3,8.8,SO1032
34,CUST0034,PROD0034,5,14.99,2023-12-11,Region4,11.992,SO1033
35,CUST0035,PROD0035,3,7.75,2023-12-16,Region5,6.2,SO1034
36,CUST0036,PROD0036,1,13.5,2023-12-21,Region1,10.8,SO1035
37,CUST0037,PROD0037,2,18.0,2023-12-26,Region2,14.4,SO1036
38,CUST0038,PROD0038,4,9.99,2023-12-31,Region3,7.992000000000001,SO1037
39,CUST0039,PROD0039,5,20.5,2024-01-05,Region4,16.400000000000002,SO1038
40,CUST0040,PROD0040,3,6.0,2024-01-10,Region5,4.800000000000001,SO1039
41,CUST0041,PROD0041,2,12.5,2024-01-15,Region1,10.0,SO1040
42,CUST0042,PROD0042,1,16.99,2024-01-20,Region2,13.591999999999999,SO1041
43,CUST0043,PROD0043,4,7.25,2024-01-25,Region3,5.800000000000001,SO1042
44,CUST0044,PROD0044,5,15.75,2024-01-30,Region4,12.600000000000001,SO1043
45,CUST0045,PROD0045,3,10.99,2024-02-04,Region5,8.792,SO1044
46,CUST0046,PROD0046,2,22.0,2024-02-09,Region1,17.6,SO1045
47,CUST0047,PROD0047,1,13.0,2024-02-14,Region2,10.4,SO1046
48,CUST0048,PROD0048,4,19.99,2024-02-19,Region3,15.991999999999999,SO1047
49,CUST0049,PROD0049,5,6.5,2024-02-24,Region4,5.2,SO1048
50,CUST0050,PROD0050,3,21.0,2024-02-29,Region5,16.8,SO1049
